No,Rider,Nationality,Team,Age,Pos
1,Cadel Evans,Australia,BMC Racing Team,33,5
2,Brent Bookwalter,United States,BMC Racing Team,26,95
3,Martin Kohler,Switzerland,BMC Racing Team,24,DNF-2
4,Jeff Louder,United States,BMC Racing Team,32,DNF-11
5,Mauro Santambrogio,Italy,BMC Racing Team,25,DNF-11
6,John Murphy,United States,BMC Racing Team,25,DNF-8
7,Michael Schär,Switzerland,BMC Racing Team,23,99
8,Florian Stalder,Switzerland,BMC Racing Team,27,81
9,Danilo Wyss,Switzerland,BMC Racing Team,24,97
11,Stefano Garzelli,Italy,Acqua & Sapone,36,DNF-20
12,Dario Andriotto,Italy,Acqua & Sapone,37,132
13,Massimo Codol,Italy,Acqua & Sapone,37,43
14,Alessandro Donati,Italy,Acqua & Sapone,31,75
15,Francesco Failli,Italy,Acqua & Sapone,26,65
16,Andrea Masciarelli,Italy,Acqua & Sapone,27,DNF-8
17,Francesco Masciarelli,Italy,Acqua & Sapone,24,DNF-8
18,Vladimir Miholjević,Croatia,Acqua & Sapone,35,25
19,Cayetano Sarmiento,Colombia,Acqua & Sapone,23,47
21,Guillaume Bonnafond,France,Ag2r-La Mondiale,22,DNF-6
22,Hubert Dupont,France,Ag2r-La Mondiale,29,20
