#,Date,Rival,City,Venue,Score
1,23 Sep,San Isidro Club,Buenos Aires,Ferro Carril Oeste,13-13
2,27 Sep,Sur Rugby Union,Bahía Blanca,Club Liniers,84-3
3,30 Sep,Mar del Plata,Mar del Plata,Parque Camet,19-0
4,4 Oct,Río Negro & Neuquén,Neuquén,Colegio Don Bosco,113-0
5,7 Oct,Cuyo,"El Challao , Mendoza",Club Marista,23-0
6,12 Oct,Córdoba,Córdoba,Club Universitario,50-7
7,14 Oct,Tucumán,Tucumán,Escuela Educ . Física,47-6
8,17 Oct,Salta RU,Salta,Gimnasia y Tiro,100-0
9,21 Oct,Argentina,Buenos Aires,Ferro Carril Oeste,14-6
10,24 Oct,Santa Fe RU,Santa Fe,Club Unión,67-12
11,28 Oct,Buenos Aires RU,Buenos Aires,Ferro Carril Oeste,14-12
12,1 Nov,Rosario RU,Rosario,Plaza Jewell,43-12
13,4 Nov,Argentina,Buenos Aires,Ferro Carril Oeste,16-18
