Year,Title,Role,Network
2007,Thank You,Lee Bom,MBC
2009,Glory of Youth,Lee Soon-ja,KBS1
2009,High Kick Through the Roof,Shin Shin-ae,MBC
2010,Grudge : The Revolt of Gumiho,Yoon Cho-ok,KBS2
2010,Drama Special Boy Meets Girl,Lee Ji-wan,KBS2
2012,Drama Special SOS - Save Our School,Bang Shi-yeon,KBS2
2013,Incarnation of Money,young Bok Jae-in,SBS
2013,The Queen 's Classroom,Eun Bo-mi,MBC
2014,Naughty Ceratops Koriyo,Tree ( voice ),KBS2
2014,Potato Star 2013QR3,"Seo Shin-ae ( cameo , episode 79 )",tvN
2014,Climb the Sky Walls,( cameo ),KBS2
2016,W,Kang Cheol 's younger sister ( cameo ),MBC
2016,Solomon 's Perjury,Park Cho-rong,JTBC
