Name,Alternative name,Origin,Purpose
Bannur,"Mandya , Bandur",India,"Meat , Wool"
Balkhi,-- -,"Afghanistan , North-west Pakistan",Meat
Baluchi,"Araghi , Baluchi dumda , Farahani , Kermani , Khorasani , Khurasani , Mengali , Naeini , Neini , Shinwari , Taraki , Yazdi","Afghanistan , Iran , Pakistan",Wool
Barbados Blackbelly sheep,-- -,Caribbean,Meat
Bardoka,Bardhoka,"Kosovo , Albania , and partially Montenegro and Serbia","Meat , milk , research , wool"
Basco-béarnaise,Vasca Carranzana,France,Milk
Beltex,-- -,Belgium,Meat
Bentheimer Landschaf,Landrace of Bentheim,Germany,Vegetation management
Bergamasca,"Bergamasker , Gigante di Bergamo , Bergamacia",Italy,"Meat , milk , wool"
Berichon du Cher,-- -,France,Meat
Beulah Speckled Face,-- -,Wales,Meat
Bibrik,-- -,Pakistan,Meat
Biellese,Biellese-Bergamasca,Italy,Meat
Bizet,-- -,France,Meat
Blackhead Persian,Swartkoppersie,South Africa,Meat
Bleu du Maine,"Blauköpfiges Fleischschaf , Bazougers , Bluefaced Maine , Blue-headed Maine , Maine-Anjou , Maine à tête bleue , Maynne Blue",France,Meat
Bluefaced Leicester,-- -,United Kingdom,Meat
Bond,-- -,Australia,Wool
Border Leicester,-- -,United Kingdom,Meat
Boreray,"Boreray Blackface , Hebridean Blackface",Scotland,Meat
