Medal,Name,Event,Games
Gold,Atet Wijono,Men 's Singles,1978 Asian Games
Gold,Justedjo Tarik,Men 's Singles,1982 Asian Games
Gold,Lany Kaligis,Women 's Singles,1966 Asian Games
Gold,Lita Liem Sugiarto,Women 's Singles,1974 Asian Games
Gold,Yayuk Basuki,Women 's Singles,1998 Asian Games
Gold,Justedjo Tarik Hadiman,Men 's Doubles,1978 Asian Games
Gold,Lany Kaligis Lita Liem Sugiarto,Women 's Doubles,1966 Asian Games
Gold,Suzanna Wibowo Yayuk Basuki,Women 's Doubles,1986 Asian Games
Gold,Suzanna Wibowo Yayuk Basuki,Women 's Doubles,1990 Asian Games
Gold,Yayuk Basuki Hary Suharyadi,Mixed Doubles,1990 Asian Games
Gold,Men 's Team,Men 's Team,1978 Asian Games
Gold,Men 's Team Hadiman Justedjo Tarik Donald Wailan-Walalangi Tintus Wibowo,Men 's Team,1982 Asian Games
Gold,Women 's Team Lany Kaligis Lita Liem Sugiarto Mien Suhadi,Women 's Team,1966 Asian Games
Gold,Women 's Team Liza Andriyani Wynne Prakusya Wukirasih Sawondari Angelique Widjaja,Women 's Team,2002 Asian Games
Gold,Aldila Sutjiadi Christopher Rungkat,Mixed Doubles,2018 Asian Games
Silver,Angelique Widjaja Wynne Prakusya,Women 's Doubles,2002 Asian Games
Silver,Men 's Team Donny Susetyo Suwandi Benny Wijaya Bonit Wiryawan,Men 's Team,1994 Asian Games
Silver,Women 's Team Vonny Djoa Mien Suhadi Jooce Suwarimbo,Women 's Team,1962 Asian Games
Silver,Women 's Team Yayuk Basuki Irawati Moerid Lukky Tedjamukti Suzanna Wibowo,Women 's Team,1990 Asian Games
Silver,Women 's Team Yayuk Basuki Natalia Soetrisno Romana Tedjakusuma Maria Widyadharma,Women 's Team,1994 Asian Games
