Pos,No,Driver,Constructor,Lap,Gap
1,17,Ralf Schumacher,Toyota,1:46.106,-
2,3,Jenson Button,BAR - Honda,1:46.141,+0.035
3,6,Giancarlo Fisichella,Renault,1:46.276,+0.170
4,15,Christian Klien,Red Bull - Cosworth,1:46.464,+0.358
5,4,Takuma Sato,BAR - Honda,1:46.841,+0.735
6,14,David Coulthard,Red Bull - Cosworth,1:46.892,+0.786
7,7,Mark Webber,Williams - BMW,1:47.233,+1.127
8,11,Jacques Villeneuve,Sauber - Petronas,1:47.440,+1.334
9,2,Rubens Barrichello,Ferrari,1:48.248,+2.142
10,12,Felipe Massa,Sauber - Petronas,1:48.278,+2.172
11,19,Narain Karthikeyan,Jordan - Toyota,1:48.718,+2.612
12,8,Antônio Pizzonia,Williams - BMW,1:48.898,+2.792
13,21,Christijan Albers,Minardi - Cosworth,1:50.843,+4.737
14,1,Michael Schumacher,Ferrari,1:52.676,+6.570
15,20,Robert Doornbos,Minardi - Cosworth,1:52.894,+6.788
16,5,Fernando Alonso,Renault,1:54.667,+8.561
17,9,Kimi Räikkönen,McLaren - Mercedes,2:02.309,+16.203
18,10,Juan Pablo Montoya,McLaren - Mercedes,no time,
19,16,Jarno Trulli,Toyota,no time,
20,18,Tiago Monteiro,Jordan - Toyota,no time,
