Location,ICAO,IATA,Airport name
Akieni,FOGA,AKE,Akieni Airport
Bakoumba,,,Bidoungui Airport
Bitam,FOOB,BMM,Bitam Airport
Booué,FOGB,BGB,Booué Airport
Cocobeach,FOOC,,Cocobeach Airport - closed
Fougamou,FOGF,FOU,Fougamou Airport
Franceville,FOON,MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport
Gamba,FOGX,GAX,Gamba Airport
Iguéla,FOOI,IGE,Tchongorove Airport
Koulamoutou,FOGK,KOU,Koulamoutou Airport
Lambaréné,FOGR,LBQ,Lambaréné Airport
Lastourville,FOOR,LTL,Lastourville Airport
Libreville,FOOL,LBV,Leon M'Ba International Airport
Makokou,FOOK,MKU,Makokou Airport
Mayumba,FOOY,MYB,Mayumba Airport
Mbigou,FOGG,MBC,Mbigou Airport
Médouneu,,MDV,Médouneu Airport
Mékambo,FOOE,MKB,Mékambo Airport
Minvoul,FOGV,MVX,Minvoul Airport
Mitzic,FOOM,MZC,Mitzic Airport
