Code,Name ( s ),Purpose
E900,Dimethyl polysiloxane ( anti-foaming agent ),anti-caking agent
E901,"Beeswax , white and yellow",glazing agent
E902,Candelilla wax,glazing agent
E903,Carnauba wax,glazing agent
E904,Shellac,glazing agent
E905,Paraffins,
E905a,Mineral oil,anti-foaming agent
E905b,Petrolatum,
E905c,Petroleum wax ( i ) Microcrystalline wax ( ii ) Paraffin wax,glazing agent
E906,Gum benzoic,flavour enhancer
E907,Crystalline wax,glazing agent
E908,Rice bran wax,glazing agent
E909,Spermaceti wax,glazing agent
E910,Wax esters,glazing agent
E911,Methyl esters of fatty acids,glazing agent
E912,"Montanic acid esters , Montan acid esters",glazing agent
E913,"Lanolin , sheep wool grease",glazing agent
E914,"Oxidized polyethylene wax , oxidized polyethylene",glazing agent
E915,Esters of colophony,glazing agent
E916,Calcium iodate,
