Name,Nation,Years,Apps,Goals
Hope Akpan,Nigeria,2018-,42,5
Jermaine Anderson,England,2019-,18,2
Dylan Connolly,Republic of Ireland,2019-,23,0
Callum Cooke,England,2019-,22,0
Danny Devine,England,2016-,30,1
Jamie Devitt,Republic of Ireland,"2011-2012 , 2019-",11,1
Clayton Donaldson,Jamaica,2019-,16,3
Tyler French,England,2019-,2,0
Jordan Gibson,England,2017-,22,1
Eliot Goldthorp,England,2018-,2,0
Adam Henley,Wales,2019-,19,0
Sam Hornby,England,2019-,0,0
Zeli Ismail,England,2019-,11,1
Jackson Longridge,Scotland,2019-,1,0
Shay McCartan,Northern Ireland,2017-,41,6
Luke McGee,England,2020-,4,0
Kelvin Mellor,England,2018-,42,2
Glenn Middleton,Scotland,2020-,0,0
Dylan Mottley-Henry,England,"2014-2016 , 2020-",3,0
Lee Novak,England,2020-,0,0
