Name,Position,Notes
Lancelot Andrewes,Scholar,Also named as a Scholar in the 1571 charter
Sir John Bennet,Commissioner,"Judge of the Prerogative Court of Canterbury , elected MP for the university in 1621"
William Bird,Commissioner,"Dean of the Court of Arches ( appointed 1618 ) , and a former MP for the university"
Henry Bould,Scholar,Later became a Fellow of the college ( 1623-1638 )
The Chancellor or Vice-Chancellor of the university,Commissioner,"The Chancellor at the time of the 1622 charter was William Herbert , 3rd Earl of Pembroke , and he was one of the signatories of the statutes . The Vice-Chancellor , William Piers , did not sign"
William Dolben,Fellow,Welsh clergyman
Thomas Dove,Scholar,Also named as a Scholar in the 1571 charter
John Higginson,Fellow,Also named as a Fellow of the college in the 1571 charter
Robert Johnson,Fellow,Also named as a Fellow of the college in the 1571 charter
Walter Jones,Scholar,"Matriculated as a member of the college in November 1621 , later becoming Sub-Dean of Westminster Abbey and Treasurer of Chichester Cathedral"
Robert Lloyd,Fellow,"A Fellow of the college ( 1622-1637 ) , but nothing else is known about him"
Hugh Madryn,Scholar,"Matriculated as a member of the college in December 1621 , later becoming rector of Newtown , Montgomeryshire"
Maurice Meyricke,Fellow,"Registrar of the university ( 1600-1608 ) and a Fellow of New College , Oxford"
Willam Parry,Scholar,Matriculated as a member of the college in November 1621
Theodore Price,Fellow and Commissioner,"Principal of Hart Hall , Oxford ( 1604-1622 )"
Thomas Prichard,Fellow,"A Fellow of the college since 1615 , appointed Vice-Principal in 1623"
William Prichard,Fellow,"A former student of the college ; Rector of Ewelme , Oxfordshire ( 1606-1629 )"
Ambrose Thelwall,Scholar,"Not found in the college records , but presumed to be a relative of Sir Eubule Thelwall"
Sir Eubule Thelwall,Principal and Commissioner,"Master of the Court of Chancery ( appointed 1617 ) , and Principal from 1621 until his death in 1630"
William Thelwall,Scholar,"Not found in the college records , but presumed to be a relative of Sir Eubule Thelwall"
