Rank,Country / Territory,Area ( km²/sqmi ),Capital city,Region
1,Vatican City,0.44 km ( 0.17 sq mi ),Vatican City,Europe
2,Monaco,2.02 km ( 0.78 sq mi ),Monaco,Europe
3,Nauru,21 km ( 8 sq mi ),Yaren,Oceania
4,Tuvalu,26 km ( 10 sq mi ),Funafuti,Oceania
5,San Marino,61 km ( 24 sq mi ),San Marino,Europe
6,Liechtenstein,160 km ( 62 sq mi ),Vaduz,Europe
7,Marshall Islands,181 km ( 70 sq mi ),Majuro,Oceania
8,Saint Kitts and Nevis,261 km ( 101 sq mi ),Basseterre,Caribbean
9,Maldives,298 km ( 115 sq mi ),Malé,Asia - Indian Ocean
10,Malta,316 km ( 122 sq mi ),Valletta,Europe - Mediterranean Sea
11,Grenada,344 km ( 133 sq mi ),St. George 's,Caribbean
12,Saint Vincent and the Grenadines,389 km ( 150 sq mi ),Kingstown,Caribbean
13,Barbados,430 km ( 166 sq mi ),Bridgetown,Caribbean
14,Antigua and Barbuda,443 km ( 171 sq mi ),St. John 's,Caribbean
15,Seychelles,455 km ( 176 sq mi ),Victoria,Africa - Indian Ocean
16,Palau,459 km ( 177 sq mi ),Ngerulmud,Oceania
17,Andorra,468 km ( 181 sq mi ),Andorra la Vella,Europe
18,Saint Lucia,616 km ( 238 sq mi ),Castries,Caribbean
19,"Micronesia , Federated States of",702 km ( 271 sq mi ),Palikir,Oceania
20,Singapore,714 km ( 276 sq mi ),Singapore,Asia
