#,Name,Pos,College,GP,Seasons
99,Eddie Saenz,RB,Southern California,50,1946-51
94,Anthony Sagnella,DT,Rutgers,3,1987
95,Joe Salave ' a,DT,Arizona,42,2004-06
26,Ed Salem,QB,Alabama,12,1951
30,Bryant Salter,S,Pittsburgh,17,1974-75
24,Johnny Sample,DB,Maryland-Eastern Shore,29,1963-65
60,Chris Samuels,OT,Alabama,141,2000-09
49,John Sanchez,OT,San Francisco,18,1947-49
21,Deion Sanders,CB,Florida State,16,2000
40,Lonnie Sanders,CB,Michigan State,67,1963-67
83,Ricky Sanders,WR,Texas State,117,1986-93
20,Dan Sandifer,DB,Louisiana State,24,1948-49
-,Phil Sarboe,QB,Washington State,5,1934
70,Tony Sardisco,G,Tulane,7,1956
64,Ron Saul,OL,Michigan State,81,1976-81
82,John Sawyer,TE,Southern Mississippi,7,1983
76,Jerry Scanlan,OT,Hawaii,6,1980-81
18,Jack Scarbath,QB,Maryland,22,1953-54
75,Brandon Scherff,G,Iowa,54,2015- present
21,Doyle Schick,CB,Kansas,5,1961
