Language,Number of speakers,Location
Tamil,"75,000,000","Tamil Nadu , Puducherry ( including Karaikkal ) , parts of Andhra Pradesh ( Chittoor district ) , Karnataka ( Bangalore , Kolar ) , Kerala ( Palakkad and Idukki districts ) , Andaman and Nicobar , Sri Lanka , Singapore , Malaysia , Mauritius , Myanmar , Canada , United States , UK , UAE , Saudi Arabia , Australia , Reunion Island"
Kannada,"44,000,000","Karnataka , Kerala ( Kasaragod district ) and Maharashtra ( Solapur , Sangli ) , Tamil Nadu ( Salem , Ooty , Coimbatore , Krishnagiri , Chennai ) , Andhra Pradesh ( Ananthpur , Kurnool ) , Telangana ( Hyderabad Medak and Mehaboobnagar ) , United States , Australia , Germany UK UAE Bahrain"
Malayalam,"37,000,000","Kerala , Lakshadweep , Mahe district of Puducherry , Dakshina Kannada and Kodagu districts of Karnataka , Coimbatore , The Nilgiris and Kanyakumari districts of Tamil Nadu , UAE , United States , Saudi Arabia , Kuwait , Oman , UK , Qatar , Bahrain , Australia , Canada , Malaysia , Singapore"
Tulu,"1,850,000","Karnataka ( Dakshina Kannada , Udupi districts ) and Kerala ( Kasaragod district ) , Across Maharashtra especially in cities like Mumbai , Thane and Gulf Countries ( UAE , Saudi Arabia , Kuwait , Oman , Qatar , Bahrain )"
Beary,"1,500,000","Karnataka ( Dakshina Kannada , Udupi districts ) and Kerala ( Kasaragod district )"
Irula,"200,000","Tamil Nadu ( Nilgiris district ) , Karnataka ( Mysore district )"
Kurumba,"180,000",Tamil Nadu ( Nilgiris district )
Badaga,"133,000","Karnataka ( Mysore district ) , Tamil Nadu ( Nilgiris district )"
Kodava,"114,000",Karnataka ( Kodagu district )
Jeseri,"65,000",Lakshadweep
Yerukala,"58,000","Karnataka , Kerala , Maharashtra , Andhra Pradesh , Tamil Nadu , Telangana"
Betta Kurumba,"32,000","Karnataka ( Chamarajanagar district , Kodagu district , Mysore district ) , Kerala ( Wayanad district ) , Tamil Nadu ( Nilgiri District )"
Kurichiya,"29,000","Kerala ( Kannur district , Kozhikode district , Wayanad district )"
Ravula,"27,000","Karnataka ( Kodagu district ) , Kerala ( Kannur district , Wayanad district )"
Mullu Kurumba,"26,000","Kerala ( Wayanad district ) , Tamil Nadu ( The Nilgiris District )"
Sholaga,"24,000","Tamil Nadu , Karnataka ( Mysore district )"
Kaikadi,"26,000","Madhya Pradesh ( Betul district ) , Maharashtra ( Amravati district )"
Paniya,"22,000","Karnataka ( Kodagu district ) , Kerala , Tamil Nadu"
Kanikkaran,"19,000","Kerala , Tamil Nadu ( Kanyakumari district , Tirunelveli district )"
Malankuravan,"18,600","Tamil Nadu ( Kanyakumari district ) , Kerala ( Kollam district , Kottayam district , Thiruvananthapuram district )"
