Round,Pick,Player,Recruited from,League,Club
Priority,1,Matthew Kreuzer,Northern Knights,TAC Cup,Carlton
1,2,Trent Cotchin,Northern Knights,TAC Cup,Richmond
1,3,Chris Masten,East Fremantle,WAFL,West Coast
1,4,Cale Morton,Claremont,WAFL,Melbourne
1,5,Jarrad Grant,Dandenong Stingrays,TAC Cup,Western Bulldogs
1,6,David Myers,Perth,WAFL,Essendon
1,7,Rhys Palmer,East Fremantle,WAFL,Fremantle
1,8,Lachlan Henderson,Geelong Falcons,TAC Cup,Brisbane Lions
1,9,Ben McEvoy,Murray Bushrangers,TAC Cup,St Kilda
1,10,Patrick Dangerfield,Geelong Falcons,TAC Cup,Adelaide
1,11,Patrick Veszpremi,Northern Knights,TAC Cup,Sydney
1,12,Cyril Rioli,St Mary 's,NTFL,Hawthorn
1,13,Brad Ebert,Port Adelaide Magpies,SANFL,West Coast
1,14,Jack Grimes,Northern Knights,TAC Cup,Melbourne
1,15,Robbie Tarrant,Bendigo Pioneers,TAC Cup,Kangaroos
1,16,Matthew Lobbe,Eastern Ranges,TAC Cup,Port Adelaide
1,17,Harry Taylor,East Fremantle,WAFL,Geelong
Priority,18,Alex Rance,Swan Districts,WAFL,Richmond
2,19,Callan Ward,Western Jets,TAC Cup,Western Bulldogs
2,20,Tony Notte,Swan Districts,WAFL,West Coast
