Name,Rank,Victories flying jets,Jet fighter unit ( s ),Total wartime victories,Notes
Kurt Welter,Oberleutnant,20+,"Kdo Welter , 10./ NJG 11",63,"Possible all-time leading jet ace , but he did overclaim up to 10"
Heinrich Bär,Oberstleutnant,16,"EJG 2 , JV 44",220,Started jet combat in 1945 ; flew the only Me 262 A-1a/U5 with 6-30mm MK108 's
Franz Schall *,Hauptmann,14,"Kdo Nowotny , JG 7",137,Killed in flying accident 10 April 1945
Hermann Buchner,Oberfeldwebel,12,Kdo Nowotny JG 7,58,
Georg-Peter Eder,Major,12,Kdo Nowotny JG 7,78,Wounded 16 February 1945
Erich Rudorffer,Major,12,JG 7,222,
Karl Schnörrer,Leutnant,11,EKdo 262 Kdo Nowotny JG 7,46,Wounded 30 March 1945
Erich Büttner *,Oberfeldwebel,8,EKdo 262 Kdo Nowotny JG 7,8,Killed in action 20 March 1945
Helmut Lennartz,Feldwebel,8,EKdo 262 Kdo Nowotny JG 7,13,First aerial victory over a B-17 Flying Fortress by a jet fighter on 15 August 1944
Rudolf Rademacher,Leutnant,8,JG 7,126,
Walter Schuck,Oberleutnant,8,JG 7,206,
Günther Wegmann,Oberleutnant,8,EKdo 262 JG 7,14,Wounded 18 March 1945
Hans-Dieter Weihs,Leutnant,8,JG 7,8,"Midair collision with Hans Waldmann on 18 March 1945 , killing Waldmann"
Theodor Weissenberger,Major,8,JG 7,208,
Alfred Ambs,Leutnant,7,JG 7,7,
Heinz Arnold *,Oberfeldwebel,7,JG 7,49,"Killed in action 17 April 1945 Arnold 's Me 262 A-1a W.Nr.500491 Yellow 7 of II./JG 7 bearing his personal victory marks is now on display at the Smithsonian Institution , Washington , DC"
Karl-Heinz Becker,Feldwebel,7,10./ NJG 11,7,"Suspect , as This unit overclaimed"
Adolf Galland,Generalleutnant,7,JV 44,104,Assigned to create JV44 in March 1945 . Wounded 26 April 1945
Franz Köster,Unteroffizier,7,EJG 2 JG 7 JV 44,7,
Fritz Müller,Leutnant,6,JG 7,22,
