Year,Title,Role,Notes
1975-1976,One Life to Live,Tim Siegel,Unknown episodes
1979,Flesh & Blood,Bobby Fallon,Television movie
1986,If Tomorrow Comes,Jeff Stevens,3 episodes
1993,Cheers,Don Santry,2 episodes Nominated - Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series
2000,Law & Order,Dean Tyler,Episode : Panic
2002,Ally McBeal,Harrison Wyatt,Episode : Nine One Nine
2003,Third Watch,Aaron Noble,4 episodes
2003,Peacemakers,Marshal Jared Stone,9 episodes
2005,Into the West,Colonel J. Chivington,Episode : Hell on Wheels
2007-2008,October Road,The Commander,19 episodes
2012,XIII : The Series,Rainer Gerhardt,6 episodes
2012,Hatfields & McCoys,Jim Vance,3 episodes Primetime Emmy Award for Outstanding Supporting Actor in a Miniseries or a Movie
2013-2015,Major Crimes,Jackson Raydor,4 episodes
2014,Hawaii Five-0,Eddie Williams ( Danno 's father ),
2017,Training Day,Stan Gursky,Episode Elegy reprise character from the 2001 film of the same name
