Medal,Name,Sport,Event,Date
Gold,Dídac Salas,Athletics,Boys ' pole vault,23 Aug
Gold,Pedro Rivadulla,Judo,Mixed Team,25 Aug
Silver,Judit Ignacio,Swimming,Girls ' 200m Butterfly,16 Aug
Silver,Judit Ignacio,Swimming,Girls ' 100m Butterfly,20 Aug
Silver,Maria Vargas,Gymnastics,Girls ' Vault,21 Aug
Silver,Nesto Abad,Gymnastics,Boys ' Horizontal Bar,22 Aug
Bronze,Aitor Martinez,Swimming,Boys ' 50m Freestyle,17 Aug
Bronze,Nagore Irigoien,Taekwondo,Girls ' 63kg,18 Aug
Bronze,Nesto Abad,Gymnastics,Boys ' Rings,21 Aug
Bronze,Pedro Rivadulla,Judo,Boys ' 55kg,21 Aug
Bronze,Inigo Garcia,Canoeing,K1 Sprint Boys,22 Aug
Bronze,Nesto Abad,Gymnastics,Boys ' Vault,22 Aug
