"English short and formal names , and ISO code",Domestic short and formal names,Capital,Population,Area
Argentina Argentine Republic ARG,Spanish : Argentina - República Argentina,Buenos Aires Spanish : Ciudad de Buenos Aires,"45,034,295","2,780,400 km ( 1,073,518 sq mi )"
Bolivia Plurinational State of Bolivia BOL,Spanish : Bolivia - Estado Plurinacional de Bolivia,Sucre ( official ) and La Paz ( seat of government ) Spanish : Sucre,"11,610,155","1,098,581 km ( 424,164 sq mi )"
Brazil Federative Republic of Brazil BRA,Portuguese : Brasil - República Federativa do Brasil,Brasília Portuguese : Brasília,"212,003,366","8,514,877 km ( 3,287,612 sq mi )"
Chile Republic of Chile,Spanish : Chile - República de Chile,Santiago Spanish : Santiago,"19,087,036","756,102 km ( 291,933 sq mi )"
Colombia Republic of Colombia COL,Spanish : Colombia - República de Colombia,Bogotá / Santa Fe de Bogotá Spanish : Bogotá,"50,750,920","1,138,910 km ( 439,736 sq mi )"
Ecuador Republic of Ecuador ECU,Spanish : Ecuador - República del Ecuador,Quito Spanish : Quito,"17,549,591","283,561 km ( 109,484 sq mi )"
Guyana Co-operative Republic of Guyana GUY,English : Guyana - Co-operative Republic of Guyana,Georgetown English : Georgetown,"785,031","214,969 km ( 83,000 sq mi )"
Paraguay Republic of Paraguay PRY,Spanish : Paraguay - República del Paraguay Guarani : Paraguai - Tetã Paraguai,Asunción Spanish : Asunción,"7,098,318","406,752 km ( 157,048 sq mi )"
Peru Republic of Peru PER,Aymara : Perú Quechua : Perú Spanish : Perú - República del Perú,Lima Spanish : Lima,"32,827,236","1,285,216 km ( 496,225 sq mi )"
Suriname Republic of Suriname SUR,Dutch : Suriname - Republiek Suriname,Paramaribo Dutch : Paramaribo,"584,625","163,820 km ( 63,251 sq mi )"
Uruguay Eastern Republic of Uruguay URY,Spanish : Uruguay - República Oriental del Uruguay Portuguese : Uruguai - República Oriental do Uruguai,Montevideo Spanish : Montevideo,"3,469,225","176,215 km ( 68,037 sq mi )"
Venezuela Bolivarian Republic of Venezuela VEN,Spanish : Venezuela - República Bolivariana de Venezuela,Caracas Spanish : Caracas,"28,295,350","912,050 km ( 352,144 sq mi )"
