Year,Winner,Origin,Country
1984,Cecilia Hörberg,Gothenburg,Sweden
1985,Karen Frances McGrillen,Belfast,UK
1986,Yvonne Balliache,Caracas,Venezuela
1987,Monica Lange,Alberta,Canada
1988,Varinia Govea,Montevideo,Uruguay
1989,Jennifer Lynn Campbell,Michigan,USA
1990,Sandi Da Silva,Florida,USA
1991,Scarlett Chorvat,Michigan,USA
1992,Monica Buck,Texas,USA
1993,Jennifer Blair,Arizona,USA
1994,Tracy Wood,Ontario,Canada
1995,Krista Frazier,Texas,USA
1996,Cheryl Depew,Florida,USA
1997,Renee Slaughter,Florida,USA
1998,Jennifer England,Michigan,USA
1999,Charlotte Arlt,Texas,USA
2000,Maryeve Dufault,Quebec,Canada
2001,Erika Johnson,Stockholm,Sweden
2002,Shawn Cox,California,USA
2003,Erica Reams,Cockburn Town,Turks & Caicos
