Manufacturer,Country,Designation,Dry weight ( kg ),Takeoff rating ( kW ),Application
DEMC,People 's Republic of China,WJ5E,720,2130,"Harbin SH-5 , Xi'an Y-7"
Europrop International,European Union,TP400-D6,1800,8203,Airbus A400M
General Electric,United States,CT7 -5A,365,1294,
General Electric,United States,CT7 -9,365,1447,"CASA/IPTN CN-235 , Let L-610 , Saab 340 , Sukhoi Su-80"
General Electric,United States Czech Republic,H80 Series,200,550 - 625,"Thrush Model 510 , Let 410NG , Let L-410 Turbolet UVP-E , CAIGA Primus 150 , Nextant G90XT"
General Electric,United States,T64 -P4D,538,2535,"Aeritalia G.222 , de Havilland Canada DHC-5 Buffalo , Kawasaki P-2J"
Honeywell,United States,TPE331 Series,150 - 275,478 - 1650,"Aero/Rockwell Turbo Commander 680/690/840/960/1000 , Antonov An-38 , Ayres Thrush , BAe Jetstream 31/32 , BAe Jetstream 41 , CASA C-212 Aviocar , Cessna 441 Conquest II , Dornier Do 228 , Fairchild Swearingen Metroliner , General Atomics MQ-9 Reaper , Grum Ge man , Mitsubishi MU-2 , North American Rockwell OV-10 Bronco , Piper PA-42 Cheyenne , RUAG Do 228NG , Short SC.7 Skyvan , Short Tucano , Swearingen Merlin , Fairchild Swearingen Metroliner"
Honeywell,United States,LTP 101 -700,147,522,"Air Tractor AT-302 , Piaggio P.166"
KKBM,Russia,NK-12MV,1900,11033,"Antonov An-22 , Tupolev Tu-95 , Tupolev Tu-114"
Progress,Ukraine,TV3-117 VMA-SB2,560,1864,Antonov An-140
Klimov,Russia,TV7-117 S,530,2100,"Ilyushin Il-112 , Ilyushin Il-114"
Progress,Ukraine,AI20 M,1040,2940,"Antonov An-12 , Antonov An-32 , Ilyushin Il-18"
Progress,Ukraine,AI24 T,600,1880,"Antonov An-24 , Antonov An-26 , Antonov An-30"
LHTEC,United States,LHTEC T800,517,2013,"AgustaWestland Super Lynx 300 ( CTS800-4N ) , AgustaWestland AW159 Lynx Wildcat ( CTS800-4N ) , Ayres LM200 Loadmaster ( LHTEC CTP800-4T ) ( aircraft not built ) , Sikorsky X2 ( T800-LHT-801 ) , TAI/AgustaWestland T-129 ( CTS800-4A )"
OMKB,Russia,TVD-20,240,1081,"Antonov An-3 , Antonov An-38"
Pratt & Whitney Canada,Canada,PT-6 Series,149 - 260,430 - 1500,"Air Tractor AT-502 , Air Tractor AT-602 , Air Tractor AT-802 , Beechcraft Model 99 , Beechcraft King Air , Beechcraft Super King Air , Beechcraft 1900 , Beechcraft T-6 Texan II , Cessna 208 Caravan , Cessna 425 Corsair/Conquest I , de Havilland Canada DHC-6 Twin Otter , Harbin Y-12 , Embraer EMB 110 Bandeirante , Let L-410 Turbolet , Piaggio P.180 Avanti , Pilatus PC-6 Porter , Pilatus PC-12 , Piper PA-42 Cheyenne , Piper PA-46-500TP Meridian , Shorts 360 , Daher TBM 700 , Daher TBM 850 , Daher TBM 900 , Embraer EMB 314 Super Tucano"
Pratt & Whitney Canada,Canada,PW120,418,1491,ATR 42 -300/320
Pratt & Whitney Canada,Canada,PW121,425,1603,"ATR 42 -300/320 , Bombardier Dash 8 Q100"
Pratt & Whitney Canada,Canada,PW123 C/D,450,1603,Bombardier Dash 8 Q300
Pratt & Whitney Canada,Canada,PW126 C/D,450,1950,BAe ATP
