Country name,Region,Country Code,International Call Prefix,Main article
Afghanistan,9,+93,00,Telephone numbers in Afghanistan
Armenia,3,+374,00,Telephone numbers in Armenia
Azerbaijan,9,+994,00,Telephone numbers in Azerbaijan
Bahrain,9,+973,00,Telephone numbers in Bahrain
Bangladesh,8,+880,00,Telephone numbers in Bangladesh
Bhutan,9,+975,00,Telephone numbers in Bhutan
British Indian Ocean Territory,2,+246,00,Telephone numbers in the British Indian Ocean Territory
Brunei,6,+673,00,Telephone numbers in Brunei
Cambodia,8,+855,00,Telephone numbers in Cambodia
China,8,+86,00,Telephone numbers in China
Cyprus,3,+357,00,Telephone numbers in Cyprus
Egypt,2,+20,00,Telephone numbers in Egypt
Georgia,9,+995,00,Telephone numbers in Georgia
Hong Kong,8,+852,001,Telephone numbers in Hong Kong
India,9,+91,00,Telephone numbers in India
Indonesia,6,+62,"00x , 01xxx ( VoIP )",Telephone numbers in Indonesia
Iran,9,+98,00,Telephone numbers in Iran
Iraq,9,+964,00,Telephone numbers in Iraq
Israel,9,+972,"00 , 01x",Telephone numbers in Israel
Japan,8,+81,010,Telephone numbers in Japan
