Name,Size,Date,Notes
"Benfield Barn , Hangleton",1.43 acres ( 0.58 ha ),1989,"The city 's smallest conservation area includes a Grade II-listed barn - part of an ancient farm next to the former Benfield Manor house - and the four terraced cottages which replaced it . The red-brick and flint barn may be late-18th-century , and the houses were built in 1871 for farm workers . They are of yellow stock brick with slate-tiled roofs"
"Brunswick Town , Hove",95.92 acres ( 38.82 ha ),1969,"Local architecture evolved into serious Neoclassical at this carefully planned and landscaped set-piece in the mid-1820s . Columns of various orders , pilasters and bow fronts characterise the square and its flanking terraces , all of which enjoy sea views and access to extensive lawns . Smaller squares and streets , such as Adelaide Crescent , Lansdowne Place and Palmeira Square , surround the centrepiece , and are slightly more modest in scope . Stuccoed façades , slate roofs , consistent building heights and long parapets contribute to the impression of regularity and formality"
Carlton Hill,4.05 acres ( 1.64 ha ),2008,"This early-19th-century working-class area was comprehensively redeveloped in the mid-20th century after degenerating into a slum , but a few old buildings remain : Tilbury Place is a good example of Georgian architecture , George Cheesman junior 's severely Classical church dates from 1839 , and the cobble-fronted Mighell Farmhouse survived when adjacent buildings were demolished for Amex House , a large office block . The area 's character derives from these buildings , its site on a steep hill with long views , and the survival of fragments of old street layouts and boundary walls in places"
"Cliftonville , Hove",40.05 acres ( 16.21 ha ),1969,"A small area of delightful mid- Victorian houses , in a villa style with angled bay windows and exterior ironwork , this 1850s suburb is an example of the long-lasting influence of the Regency style on Victorian domestic architecture . The increasingly fashionable Italianate style is also evident . Slight differences can be seen between individual houses : plots were sold speculatively , so most houses were built to individuals ' requirements . Sash windows with valances are characteristic features"
College,18.60 acres ( 7.53 ha ),1988,"Many architects associated with Brighton have made complementary additions to George Gilbert Scott 's original buildings for Brighton College , founded in 1848 : T.G . Jackson , F.T . Cawthorn and Clayton & Black , amongst others . Pevsner found the ensemble joyless , but they are important as Brighton 's largest set of Gothic Revival buildings ( a style rarely found among secular buildings in the city ) . Flint and brick predominate , and there is much use of terracotta"
"Denmark Villas , Hove",7.42 acres ( 3.00 ha ),1984,"This road was a northern extension of Cliftonville , built on the way to Hove railway station ( opened in 1865 ) . The area has well-spaced Italianate houses in a more modestly detailed style than the rest of Cliftonville , with prominent architraves , quoins and eaves , yellow brickwork and mosaic tiled paths . The road is lined with mature trees , contributing to its character"
East Cliff,153.99 acres ( 62.32 ha ),1973,"Hundreds of listed buildings , a strong and little changed street pattern and the prevalence of Regency architecture characterise the East Cliff , which developed from the late 18th century because of its proximity to the fashionable Old Steine . Many landowners held small plots , so cohesive large-scale developments were not possible ; instead , streets tended to follow a north-south alignment defined by old field boundaries . The houses and hotels of Marine Parade , the east-west clifftop road ( built from 1827 on the site of a trackway ) , present a long stuccoed façade which has been described as unsurpassed anywhere in Britain"
"Engineerium , West Blatchington",8.89 acres ( 3.60 ha ),1982,"Built in 1866 as the Goldstone Pumping Station to provide more piped water for Brighton and Hove 's rapidly growing population , this became a museum in 1976 . Considered to be excellent examples of 19th-century industrial design , the brick buildings are intricately detailed with Classical motifs and multicoloured brickwork . The tall chimney is a significant landmark"
Hangleton,15.54 acres ( 6.29 ha ),1984,"Hangleton became a postwar overspill estate , with what Pevsner called a grisly set of parodies of the English cottage , but at the centre a set of ancient buildings remain around a park . St Helen 's Church has changed little since the 11th century , and Hangleton Manor is Hove 's oldest secular building . Now used as a restaurant , it retains its old dovecote and associated cottages"
Hove Station,14.56 acres ( 5.89 ha ),1996,"Built as Cliftonville in 1865 , Hove railway station soon stimulated middle-class residential development . Goldstone Villas , a wide tree-lined avenue with terraced houses in various styles , was developed in the 1880s and 1890s . Brick in pale colours such as yellow , buff and brown predominates ; slate roofs are also common , and many windows are canted bays . Some large-scale late-20th-century developments have affected the area . The Ralli Memorial Hall , a red brick and stone Renaissance-style building of 1913 , and a Neoclassical former chapel of 1878 ( now an office ) provide variety"
