Position,Name,School,ABCA,BA
Pitcher,Aaron Sele,Washington State,Y,-
Pitcher,Dan Smith,Creighton,Y,Y
Pitcher,Stan Spencer,Stanford,Y,Y
Pitcher,Kirk Dressendorfer ( 3 ) ♦,Texas,-,Y
Pitcher,Oscar Munoz,Miami,-,Y
Pitcher,Sean Rees,Arizona State,-,Y
Pitcher,Phil Stidham,Arkansas,Y,-
Catcher,Paul Ellis,UCLA,Y,Y
Catcher,Dan Wilson,Minnesota,-,Y
First baseman,Don Barbara,Long Beach State,Y,Y
Second baseman,Grant Brittain,Western Carolina,Y,-
Second baseman,Anthony Manahan,Arizona State,-,Y
Third baseman,Greg D'Alexander,Arkansas,Y,Y
Shortstop,Tim Costo,Iowa,Y,Y
Outfielder,Mike Kelly,Arizona State,Y,Y
Outfielder,Wes Grisham,LSU,-,Y
Outfielder,Jeffrey Hammonds,Stanford,-,Y
Outfielder,Tim Walstrom,Northern Colorado,Y,Y
Outfielder,Dennis McNamara,Central Michigan,Y,-
Outfielder,Tom Nuneviller,West Chester,Y,-
