Name,Born,Died
Pycard,fl . c. 1390,after c. 1410
Leonel Power,c. 1370,1445
Roy Henry,fl . 1410,after 1410
Byttering possibly Thomas Byttering,fl . c. 1410,after 1420
John Dunstaple ( or Dunstable ),c. 1390,1453
John Plummer,c. 1410,c. 1483
Henry Abyngdon,c. 1418,1497
Walter Frye,fl . c. 1450,1474
William Horwood,c. 1430,1484
John Hothby Johannes Ottobi,c. 1430,1487
William Hawte William Haute,c. 1430,1497
Richard Hygons,c. 1435,c. 1509
Gilbert Banester,c. 1445,1487
Walter Lambe,c. 1450,after 1504
Hugh Kellyk,late 15th century,16th century ?
Edmund Turges possibly the same as Edmund Sturges,1450,1500
