Team,Location,Stadium,Capacity
Chumphon,Chumphon,Chumphon Province Stadium,"3,000"
Nakhon Si Heritage,Nakhon Si Thammarat,Nakhon Si Thammarat PAO . Stadium,?
Nara United,Narathiwat,Narathiwat Municipal Stadium,?
Pattani,Pattani,Rainbow Stadium,"8,000"
Phang Nga,Phang Nga,Phang Nga Province Stadium,"3,000"
Phattalung,Phattalung,Phattalung Province Stadium,"5,000"
Ranong,Ranong,Ranong Province Stadium,"7,212"
Satun United,Satun,Ratchakit Prakan Stadium,?
Surat,Surat Thani,Surat Thani Province Stadium,"10,175"
Trang,Trang,Trang City municipality Stadium,"4,789"
Yala,Yala,Institute of Physical Education Yala Campus Stadium,"2,960"
