Year,Title,Role,Notes
1988-89,"Good Morning , Miss Bliss",Lisa Turtle,13 episodes
"1988 , 1989",Small Wonder,Brandie Ross Binky,When You Hear the Beep The Tattletale
1989,The Robert Guillaume Show,Danica,Episode : Educating Ann
1989-93,Saved by the Bell,Lisa Turtle,86 episodes
1992,The Fresh Prince of Bel-Air,Cindy,"Episode : Mama 's Baby , Carlton 's Maybe"
1992,Saved by the Bell : Hawaiian Style,Lisa Turtle,TV movie
1993,Martin,Nicole,Episodes : The Break Up ( Parts 2 & 3 )
1993,Getting By,Tasha,"Episodes : Men Do n't Dance , Turnabout Dance"
1993-94,Days of Our Lives,Wendy Reardon,
1994,Saved by the Bell : The College Years,Lisa Turtle,Episode : Wedding Plans
1994,Saved by the Bell : Wedding in Las Vegas,Lisa Turtle,Movie
1994,Me and the Boys,Denise,Episode : Talent Show
1994,Saved by the Bell : The New Class,Lisa Turtle,Episode : Goodbye Bayside ( Part 2 )
1995,CBS Schoolbreak Special,Breena Black,Episode : What About Your Friends
1995,Star Trek : Deep Space Nine,Leanne,Episode : Life Support
1995,Family Matters,Dream Girl,Episode : Home Sweet Home
"1995-96 , 2004",The Bold and the Beautiful,Jasmine Malone,Originated the role ( Jan. 1995 - Nov. 1996 ) ; reprised in April 2004 - June 2004 ; again in July 2004
1997,Malcolm & Eddie,Lydia,Episode : Club Story
1997,The Last Don,Tiffany,Miniseries
1997-99,In the House,Mercedes Langford,18 episodes
