Name,Gender,Location,Ownership
Alter,Co-ed,Kettering,Archdiocesan
Badin,Co-ed,Hamilton,Interparochial
Carroll,Co-ed,Dayton,Archdiocesan
Catholic Central,Co-ed,Springfield,Archdiocesan
Chaminade-Julienne,Co-ed,Dayton,"Marianists , Srs . of Notre Dame"
DePaul Cristo Rey,Co-ed,Cincinnati,Srs . of Charity
Elder,Male,Cincinnati,Interparochial
Fenwick,Co-ed,Middletown,Archdiocesan
La Salle,Male,Cincinnati,Archdiocesan
Lehman Catholic,Co-ed,Sidney,Archdiocesan
McNicholas,Co-ed,Cincinnati,Interparochial
Mercy McAuley,Female,Cincinnati,Interparochial
Moeller,Male,Cincinnati,Marianist
Mount Notre Dame,Female,Cincinnati,Interparochial
Purcell Marian,Co-ed,Cincinnati,Archdiocesan
Royalmont Academy,Co-ed,Mason,Independent
Roger Bacon,Co-ed,Cincinnati,Interparochial
Seton,Female,Cincinnati,Parochial
St. Rita,Co-ed,Cincinnati,Independent
St. Ursula Academy,Female,Cincinnati,Independent ( Ursulines )
