Family,Companies,Place of origin,Principal countries of residence
Altoviti,,Florence,Republic of Florence
Bardi,Compagnia dei Bardi,Florence,Republic of Florence
Baring,"Barings Bank , Baring Vostok Capital Partners",Bremen,"Germany , UK"
Berenberg-Gossler-Seyler,Berenberg Bank,Antwerp,"Belgium , Germany"
Bordier,Bordier & Cie,Geneva,Switzerland
Botín,"Banco Santander , Bankinter",Santander,Spain
Cerchi,,"Valdarno , Tuscany",Republic of Florence
Chigi,Banco Chigi,Siena,Republic of Siena
Clifford,,"Clifford , Herefordshire","UK , The Netherlands"
Coutts,Coutts & Co,London,UK
Fugger,,Augsburg,Germany
Goldman-Sachs,Goldman Sachs,New York,USA
Gondi,,Florence,Republic of Florence
Hoare,C. Hoare & Co,London,UK
Hope,Hope & Co. ( later part of ABN-Amro ),Amsterdam,Netherlands
Hottinger,Hottinger Group,Paris,"France , Switzerland , UK"
Hochstetter,,Höchstädt,Germany
Medici,,Florence,Republic of Florence
Mellon,Bank of New York Mellon,"Pittsburgh , PA",USA
Metzler,Metzler Bank,Frankfurt,Germany
