Date,Home,Score,Away,Venue,Status
14 April 1940,Romania,3-0,Italy,"Dinamo Stadium , Bucharest",Test Match
5 June 1960,Romania,11-5,France,"Dinamo Stadium , Bucharest",Test Match
10 June 1962,Romania,14-6,Italy,"Dinamo Stadium , Bucharest",Test Match
11 November 1962,Romania,3-0,France,"Dinamo Stadium , Bucharest",Test Match
14 May 1967,Romania,15-14,Italy,"Dinamo Stadium , Bucharest",1966-67 FIRA Nations Cup
1 December 1968,Romania,24-3,France,"Dinamo Stadium , Bucharest",1968-69 FIRA Nations Cup
25 October 1970,Italy,3-14,Romania,"Stadio Comunale Mario Battaglini , Rovigo",1969-70 FIRA Nations Cup
11 April 1971,Romania,32-6,Italy,"Dinamo Stadium , Bucharest",1970-71 FIRA Nations Cup
13 October 1974,Romania,15-10,France,"Dinamo Stadium , Bucharest",1974-75 FIRA Trophy
14 November 1976,Romania,15-12,France,"Dinamo Stadium , Bucharest",1976-77 FIRA Trophy
1 May 1977,Romania,69-0,Italy,"Dinamo Stadium , Bucharest",1976-77 FIRA Trophy
22 April 1979,Romania,44-0,Italy,"Dinamo Stadium , Bucharest",1978-79 FIRA Trophy
23 November 1980,Romania,15-0,France,"Dinamo Stadium , Bucharest",1980-81 FIRA Trophy
12 April 1981,Romania,35-9,Italy,Brăila,1980-81 FIRA Trophy
31 October 1982,Romania,13-9,France,"Dinamo Stadium , Bucharest",1982-83 FIRA Trophy
10 April 1983,Romania,13-6,Italy,Buzău,1982-83 FIRA Trophy
12 November 1983,Romania,24-6,Wales,"Dinamo Stadium , Bucharest",Test Match
20 May 1984,Romania,28-22,Scotland,"Dinamo Stadium , Bucharest",Test Match
14 April 1985,Romania,7-6,Italy,Brașov,1984-85 FIRA Trophy
12 April 1987,Romania,9-3,Italy,Constanța,1985-87 FIRA Trophy
