Teams,Stage,Date,Prediction,Result,Outcome
Lithuania vs Great Britain,Group stage,31 August,Lithuania,80-69,Correct
Poland vs Lithuania,Group stage,1 September,Lithuania,77-97,Correct
Turkey vs Lithuania,Group stage,2 September,Lithuania,68-75,Correct
Lithuania vs Spain,Group stage,4 September,Spain,79-91,Correct
Portugal vs Lithuania,Group stage,5 September,Lithuania,69-98,Correct
Serbia vs Lithuania,Second round,7 September,Lithuania,90-100,Correct
Lithuania vs France,Second round,9 September,France,67-73,Correct
Lithuania vs Germany,Second round,11 September,Lithuania,84-75,Correct
North Macedonia vs Lithuania,Quarterfinals,14 September,Lithuania,67-65,Incorrect
Slovenia vs Lithuania,Classification,15 September,N/A,77-80,N/A
Lithuania vs Greece,Classification,17 September,N/A,73-69,N/A
Spain vs France,Final,18 September,France,98-85,Incorrect
