Year,Title,Role,Network
1993,Gallowglass,Joe,BBC2
1993,Maigret,Philippe,ITV
1993,In Suspicious Circumstances,,ITV
1993,Sean 's Show,James,Channel 4
1997,The Grand,Thomas Jordon,ITV
1998,Lost in France,Owen,BBC2
1998,Animated Epics : Beowulf,Wiglaf ( voice ),"HBO , BBC , S4C"
1999,Doomwatch : Winter Angel,Angel ( voice ),Channel 5
2003,The Deal,Tony Blair,Channel 4
2004,Dirty Filthy Love,Mark Furness,ITV
2006,Kenneth Williams : Fantabulosa !,Kenneth Williams,BBC Four
2006,Ancient Rome : The Rise and Fall of an Empire,Nero,BBC One
2006,H. G. Wells : War with the World,H. G. Wells,BBC Two
2009,A Childs Christmases in Wales,Narrator ( voice ),BBC Four
2010,30 Rock,Wesley Snipes,NBC
2010,The Special Relationship,Tony Blair,HBO
2011,Doctor Who,House ( voice ),BBC One
2011,Passion in Port Talbot,,BBC One Wales
2013-16,Masters of Sex,William H. Masters,Showtime
2014,The Spoils of Babylon,Chet Halner,IFC
