Church,Dates,"City , State"
Rock Hill Presbyterian Church,1903 built 2009 NRHP-listed,"Bellaire , Ohio"
Kilgore Union Presbyterian Church,1828 built 1995 NRHP-listed,"Carrollton , Ohio"
Mount Zion Presbyterian Church,built NRHP-listed,"Chandlersville , Ohio"
Covenant First Presbyterian Church,built NRHP-listed,"Cincinnati , Ohio"
Fulton-Presbyterian Cemetery,built NRHP-listed,"Cincinnati , Ohio"
Pilgrim Presbyterian Church,built NRHP-listed,"Cincinnati , Ohio"
Walnut Hills United Presbyterian Church,built NRHP-listed,"Cincinnati , Ohio"
Euclid Avenue Presbyterian Church,built NRHP-listed,"Cleveland , Ohio"
North Presbyterian Church,built NRHP-listed,"Cleveland , Ohio"
East Broad Street Presbyterian Church,built NRHP-listed,"Columbus , Ohio"
"Second Presbyterian Church ( Columbus , Ohio )",built NRHP-listed,"Columbus , Ohio"
"Welsh Presbyterian Church ( Columbus , Ohio )",built NRHP-listed,"Columbus , Ohio"
Fredericktown Presbyterian Church,built NRHP-listed,"Fredericktown , Ohio"
Middle Sandy Presbyterian Church,built NRHP-listed,"Homeworth , Ohio"
Independence Presbyterian Church,built NRHP-listed,"Independence , Ohio"
Congregational-Presbyterian Church,built NRHP-listed,"Kinsman , Ohio"
First Presbyterian Church of Maumee Chapel,built 1837 NRHP-listed 1973,"Maumee , Ohio"
"First Presbyterian Church ( Napoleon , Ohio )",built NRHP-listed,"Napoleon , Ohio"
Pataskala Presbyterian Church,built NRHP-listed,"Pataskala , Ohio"
"First Presbyterian Church ( Portsmouth , Ohio )",built NRHP-listed,"Portsmouth , Ohio"
