Title,Publisher,Release Date,CERO
PC Genjin : Pithecanthropus Computerurus,Konami,"December 25 , 2013",A
Takahashi Meijin no Shin Bōken Jima,Konami,"January 29 , 2014",A
Super Star Soldier,Konami,"February 26 , 2014",A
PC Genjin 2,Konami,"March 12 , 2014",A
Gradius,Konami,"April 16 , 2014",A
Neutopia,Konami,"April 16 , 2014",A
R-Type,Konami,"April 30 , 2014",A
The Kung Fu,Konami,"April 30 , 2014",A
Blazing Lazers,Konami,"June 11 , 2014",A
PC Denjin : Punkic Cyborgs,Konami,"June 19 , 2014",A
PC Genjin 3,Konami,"June 25 , 2014",A
Alien Crush,Konami,"July 9 , 2014",A
Be Ball,Konami,"July 30 , 2014",A
Neutopia II,Konami,"July 30 , 2014",A
Final Soldier,Konami,"August 27 , 2014",A
Kaizō Chōjin Shubibinman 2 : Aratanaru Teki,Konami,"August 27 , 2014",A
Victory Run,Konami,"September 17 , 2014",A
Soldier Blade,Konami,"September 24 , 2014",A
Power Golf,Konami,"October 22 , 2014",A
Salamander,Konami,"October 22 , 2014",A
