Name,Years,Apps,Goals,Position
Billy Bassett,1886-99,311,77,Outside right
Jesse Pennington,1903-22,496,0,Left back
W. G. Richardson,1929-45,354,228,Centre forward
Ray Barlow,1944-60,482,48,Left-half
Ronnie Allen,1950-61,458,234,Centre forward
Don Howe,1952-64,379,19,Right back
Derek Kevan,1953-63,262,157,Centre forward
Tony Brown,1963-81,720,279,Wing half / Inside forward
Jeff Astle,1964-74,361,174,Centre forward
John Osborne,1967-72 1973-78,312,0,Goalkeeper
John Wile,1970-83,619,29,Centre-half
Willie Johnston,1972-79,261,28,Outside left
Bryan Robson,1974-81,249,46,Central midfielder
Derek Statham,1976-87,373,11,Left back
Laurie Cunningham,1977-79,114,30,Winger
Cyrille Regis,1977-84,302,112,Centre forward
Russell Hoult,2001-07,213,0,Goalkeeper
