Year,Tango variation,Competition
1978-1988,See Adidas Tango for the original family of balls,See Adidas Tango
2011,Adidas Tango,2011 UEFA Super Cup
2011,Adidas Tango,2011-12 UEFA Europa League
2011,Adidas Tango Argentina 12,2011-12 Argentine Primera División season
2011,Torfabrik ( Goal Factory ),2011-12 Bundesliga
2012,Comoequa,2012 Africa Cup of Nations
2012,The Albert,2012 Summer Olympics
2012,Prime,2012 Major League Soccer
2012,Adidas Tango 12 Final Kyiv,UEFA Euro 2012 Final
2013,Adidas Cafusa,2013 FIFA Confederations Cup
