Rank,Stadium,City,Capacity,Home team ( s ),Opened
1,Air Albania Stadium,Tiranë,"22,500",Albania NT,2019
2,Loro Boriçi Stadium,Shkodër,"16,022","Albania NT , Vllaznia","1953 , 2016"
3,Tomori Stadium,Berat,"14,890",Tomori,1985
4,Elbasan Arena,Elbasan,"12,800","Albania NT , KF Elbasani","1967 , 2014"
5,Skënderbeu Stadium,Korçë,"12,343",Skënderbeu,1957
6,Niko Dovana Stadium,Durrës,"12,040",Teuta,1965
7,Gjorgji Kyçyku Stadium,Pogradec,"10,700",Pogradeci,
8,Selman Stërmasi Stadium,Tiranë,"9,600",KF Tirana,"1956 , 2015"
9,Roza Haxhiu Stadium,Lushnjë,"8,500",Lushnja,1961
10,Kastrioti Stadium,Krujë,"8,400","Kastrioti , Shënkolli",
11,Gjirokastër Stadium,Gjirokastër,"8,400",Luftëtari,1961
12,Flamurtari Stadium,Vlorë,? ? ? ?,Flamurtari,1961
13,Besa Stadium,Kavajë,"8,000",Besa,1974
14,Loni Papuçiu Stadium,Fier,"6,800",Apolonia,1958
15,Nexhip Trungu Stadium,Cerrik,"6,600",Turbina,
16,Korabi Stadium,Peshkopi,"6,000",Korabi,
17,Zeqir Ymeri Stadium,Kukës,"5,200",FK Kukësi,2012
18,Adush Muça Stadium,Ballsh,"5,200",Bylis,
19,Brian Filipi Stadium,Lezhë,"5,000",Besëlidhja,
20,Andon Lapa Stadium,Sarandë,"5,000",Butrinti,
