Name,Event,Country,Record,Type
James Magut,1500 metres,Kenya,3:37.05,CR
Cornel Fredericks,400 m hurdles,South Africa,50.05 sec,CR
Cheyne Rahme,Pole vault,South Africa,5.30 m,CR
Ali Bouguesba,Triple jump,Algeria,16.16 m,CR
Alaa Elaslry,Hammer throw,Egypt,75.59 m,CR
Gert Swanepoel,Decathlon,South Africa,6400 pts,NR
Caster Semenya,800 metres,South Africa,1:56.72,NR CR WL
Caster Semenya,1500 metres,South Africa,4:08.01,CR
Amaka Ogoegbunam,400 m hurdles,Nigeria,58.45 sec,CR
Rana Taha,Hammer throw,Egypt,57.53 m,CR
