Team,Last Stanley Cup,Subsequent Stanley Cup Finals losses,Stanley Cup drought
Toronto Maple Leafs,1966-67,,51 seasons
Buffalo Sabres,never ( inception of franchise in 1970-71 ),"2 : 1974-75 , 1998-99",48 seasons
Vancouver Canucks,never ( inception of franchise in 1970-71 ),"3 : 1981-82 , 1993-94 , 2010-11",48 seasons
Philadelphia Flyers,1974-75,"6 : 1975-76 , 1979-80 , 1984-85 , 1986-87 , 1996-97 , 2009-10",43 seasons
Arizona Coyotes,never ( franchise entered the NHL in 1979-80 ),,39 seasons
New York Islanders,1982-83,1 : 1983-84,35 seasons
Calgary Flames,1988-89,1 : 2003-04,29 seasons
Edmonton Oilers,1989-90,1 : 2005-06,28 seasons
San Jose Sharks,never ( inception of franchise in 1991-92 ),1 : 2015-16,27 seasons
Ottawa Senators,never ( inception of franchise in 1992-93 ),1 : 2006-07,26 seasons
Montreal Canadiens,1992-93,,25 seasons
Florida Panthers,never ( inception of franchise in 1993-94 ),1 : 1995-96,25 seasons
New York Rangers,1993-94,1 : 2013-14,24 seasons
Nashville Predators,never ( inception of franchise in 1998-99 ),1 : 2016-17,20 seasons
Dallas Stars,1998-99,1 : 1999-2000,19 seasons
Winnipeg Jets,never ( inception of franchise in 1999-2000 ),,19 seasons
Columbus Blue Jackets,never ( inception of franchise in 2000-01 ),,18 seasons
Minnesota Wild,never ( inception of franchise in 2000-01 ),,18 seasons
Colorado Avalanche,2000-01,,17 seasons
New Jersey Devils,2002-03,1 : 2011-12,15 seasons
