Number,Player,Position,Previous Club
1,Karl Fitzpatrick,Full back,Widnes Vikings
2,John Wilshire,Wing,Leigh Centurions
3,Mark Henry,Centre,North Queensland Cowboys
4,Willie Talau,Centre,St. Helens
5,Paul White,Wing,Wakefield Trinity Wildcats
6,Jeremy Smith,Stand Off,South Sydney Rabbitohs
7,Richard Myler,Scrum Half,Widnes Vikings
8,Ray Cashmere,Prop,North Queensland Cowboys
9,Malcolm Alker,Hooker,Wigan St Patricks
10,Craig Stapleton,Prop,Cronulla Sharks
11,Ian Sibbitt,Second Row,Warrington Wolves
12,Rob Parker,Second Row,Warrington Wolves
13,Luke Swain,Loose Forward,Gold Coast Titans
14,Jordan Turner,Loose Forward,Salford City Reds
15,Stuart Littler,Centre,Leigh Miners Rangers
16,Phillip Leuluai,Prop,Cronulla Sharks
17,Robbie Paul,Half Back,Huddersfield Giants
18,Lee Jewitt,Prop,Wigan Warriors
19,Stefan Ratchford,Hooker,Salford City Reds
20,Luke Adamson,Second Row,Leigh East
