Year,Title,Role,Notes
1998-2006,That '70s Show,Eric Forman,179 episodes
2002,"What 's New , Scooby-Doo ?",Guard 1 ( voice ),Episode : Space Ape at the Cape
2003,King of the Hill,Chris ( voice ),Episode : Megalo Dale
2005,Saturday Night Live,Himself / Host,Episode : Topher Grace/The Killers
2005,Stella,Older Kevin,Episode : Paper Route
2005,Robot Chicken,Eric Forman ( voice ),Episode : Gold Dust Gasoline
2008,The Simpsons,Donny ( voice ),Episode : The Debarted
2011,Too Big to Fail,Jim Wilkinson,Television film
2012,Comedy Bang ! Bang !,Cameraman,Episode : Seth Rogen Wears a Plaid Shirt & Brown Pants
2012,The Beauty Inside,Alex,6 episodes
2013,People in New Jersey,Carl Levin,Unsold pilot
2015,The Muppets,Himself,Episode : Pilot
2015,Drunk History,Milton Bradley,Episode : Games
2016,TripTank,Leonard ( voice ),Episode : Sick Day
2017,Workaholics,Noel,Episode : Weed the People
2017,Get Shorty,Tyler Mathis,2 episodes
2019,"Love , Death & Robots",Rob,Episode : Ice Age
2019,The Hot Zone,Dr. Peter Jahrling,6 episodes
2019,Black Mirror,Billy Bauer,Episode : Smithereens
