Binomial name and author citation,Current systematic status,Type locality,Type repository
"N. alumnus Iredale , 1944",Species dubium [ fide Saunders ( 1987:49 ) ],"Queensland , Australia",Not designated [ fide Saunders ( 1987:49 ) ]
"N. ambiguus Sowerby , 1848",Species dubium [ fide Saunders ( 1987:48 ) ],Not designated,Unresolved
"N. beccarii Linné , 1758",Non-cephalopod ; Foraminifera [ fide Frizzell and Keen ( 1949:106 ) ],,
"N. calcar Linné , 1758",? Non-cephalopod ; Foraminifera Lenticulina,Adriatic Sea,Unresolved ; Linnean Society of London ?
"N. crispus Linné , 1758",Undetermined,Mediterranean Sea,Unresolved ; Linnean Society of London ?
"N. crista Linné , 1758",Non-cephalopod ; Turbo [ fide Dodge ( 1953:14 ) ],,
"N. fascia Linné , 1758",Undetermined,Adriatic Sea,Unresolved ; Linnean Society of London ?
"N. granum Linné , 1758",Undetermined,Mediterranean Sea,Unresolved ; Linnean Society of London ?
"N. lacustris Lightfoot , 1786",Non-cephalopod ; Helix [ fide Dillwyn ( 1817:339 ) ],,
"N. legumen Linné , 1758",Undetermined,Adriatic Sea,Unresolved ; Linnean Society of London ?
"N. micrombilicatus Joubin , 1888",Nomen nudum,,
"N. obliquus Linné , 1758",Undetermined,Adriatic Sea,Unresolved ; Linnean Society of London ?
"N. pompilius marginalis Willey , 1896",Species dubium [ fide Saunders ( 1987:50 ) ],New Guinea,Unresolved
"N. pompilius moretoni Willey , 1896",Species dubium [ fide Saunders ( 1987:49 ) ],New Guinea,Unresolved
"N. pompilius perforatus Willey , 1896",Species dubium [ fide Saunders ( 1987:49 ) ],New Guinea,Unresolved
"N. radicula Linné , 1758",? Non-cephalopod ; F. Nodosaria,Adriatic Sea,Unresolved ; Linnean Society of London ?
"N. raphanistrum Linné , 1758",Undetermined,Mediterranean Sea,Unresolved ; Linnean Society of London ?
"N. raphanus Linné , 1758",Undetermined,Adriatic Sea,Unresolved ; Linnean Society of London ?
"N. semi-lituus Linné , 1758",Undetermined,"Liburni , Adriatic Sea",Unresolved ; Linnean Society of London ?
"N. sipunculus Linné , 1758",Undetermined,freto Siculo,Unresolved ; Linnean Society of London ?
