Name,Years,Nationality,Notable roles
Dianna Agron,1986-,American,Glee
Jonathan Ahdout,1989-,American,House of Sand and Fog
Rachel Bloom,1987-,American,Crazy Ex-Girlfriend
Aviv Alush,1982-,Israeli,"False Flag , The Women 's Balcony , The Shack"
Nora Arnezeder,1989-,French,
Skylar Astin,1987-,American,"Pitch Perfect , Spring Awakening"
Moran Atias,1981-,Israeli,The Resident
Justin Berfield,1986-,American,Malcolm in the Middle
Rachel Bilson,1981-,American,"The O.C . , The Last Kiss , Hart of Dixie"
Josh Bowman,1988-,British,Revenge
Alison Brie,1982-,American,"Community , Mad Men"
Ania Bukstein,1982-,Russian-born Israeli,"False Flag , Game of Thrones"
Amanda Bynes,1986-,American,"She 's the Man , Hairspray , The Amanda Show"
Lizzy Caplan,1982-,American,"Mean Girls , Cloverfield , Party Down , True Blood"
Cristiana Capotondi,1980-,Italian,
Lauren Cohan,1982-,British-American,The Walking Dead
Matt Cohen,1982-,American,South of Nowhere
Lauren Collins,1986-,Canadian,Degrassi : The Next Generation
Alexa Davalos,1982-,American,
Kat Dennings,1986-,American,"Nick and Norah 's Infinite Playlist , 2 Broke Girls"
