Year,French title,English title,Directed by
2010,Copie conforme,Certified Copy,Abbas Kiarostami
2010,Incendies,Incendies,Denis Villeneuve
2010,Elle s'appelait Sarah,Sarah 's Key,Gilles Paquet-Brenner
2011,Polisse,Poliss,Maïwenn
2011,Intouchables,Untouchable,"Eric Toledano , Olivier Nakache"
2011,Monsieur Lazhar,Monsieur Lazhar,Philippe Falardeau
2012,Amour,Amour,Michael Haneke
2012,Le Prénom,What 's in a Name ?,Alexandre de La Patellière Matthieu Delaporte
2012,Ce que le jour doit à la nuit,What the Day Owes the Night,Alexandre Arcady
2013,BoOzy ' OS et la Gemme de Cristal,BoOzy ' OS and the Cristal Gem,Julien Rocca-Darcin
2013,La Vie d'Adèle - Chapitres 1 & 2,Blue Is the Warmest Colour,Abdellatif Kechiche
2013,Les Grandes Ondes ( à l'ouest ),Longwave,Lionel Baier
2014,Qu'est-ce qu'on a fait au Bon Dieu ?,Serial ( Bad ) Weddings,Philippe de Chauveron
2014,La Famille Bélier,The Bélier Family,Éric Lartigau
2014,Respire,Breathe,Mélanie Laurent
2015,Nous trois ou rien,All Three of Us,Kheiron
2016,Frantz,Frantz,François Ozon
2016,Demain tout commence,Two Is a Family,Hugo Gélin
2017,120 battements par seconde,BPM ( Beats per Minute ),Robin Campillo
2017,Call Me by Your Name,Call Me by Your Name,Luca Guadagnino
