US,CAN,Single,Artist
21,18,4 to 1 in Atlanta,Tracy Byrd
15,3,Ai n't Got Nothin ' on Us,John Michael Montgomery
5,2,All I Want Is a Life,Tim McGraw
13,15,All You Ever Do Is Bring Me Down,The Mavericks ( feat . Flaco Jiménez )
11,14,Almost a Memory Now,BlackHawk
24,18,Are We in Trouble Now,Randy Travis
1,1,The Beaches of Cheyenne,Garth Brooks
1,1,Believe Me Baby ( I Lied ),Trisha Yearwood
17,8,Big Guitar,BlackHawk
1,1,Bigger Than the Beatles,Joe Diffie
10,1,Blue,LeAnn Rimes
1,1,Blue Clear Sky,George Strait
12,14,Born in the Dark,Doug Stone
18,24,Bury the Shovel,Clay Walker
18,21,By My Side,Lorrie Morgan & Jon Randall
1,2,Carried Away,George Strait
19,8,The Change,Garth Brooks
10,30,Change My Mind,John Berry
4,4,Cowboy Love,John Michael Montgomery
1,3,Daddy 's Money,Ricochet
