Province,Capital,Peak population
Cape of Good Hope ( 1910-1994 ),Cape Town,"6,125,335"
Natal ( 1910-1994 ),Pietermaritzburg,"2,430,753"
Orange Free State ( 1910-1994 ),Bloemfontein,"2,193,062"
Transvaal ( 1910-1994 ),Pretoria,"9,491,265"
Homelands,Capital,Peak population
Bophuthatswana ( 1977-1994 ) †,Mmabatho,"1,478,950"
Ciskei ( 1972-1994 ) †,Bisho,"677,920"
Gazankulu ( 1971-1994 ),Giyani,"954,771"
KaNgwane ( 1981-1994 ),Louieville Schoemansdal ( de facto ),"779,240"
KwaNdebele ( 1981-1994 ),KwaMhlanga,"404,246"
KwaZulu ( 1981-1994 ),Nongoma ( until 1980 ) Ulundi ( 1980-1994 ),"5,524,774"
Lebowa ( 1972-1994 ),Lebowakgomo,"2,740,587"
QwaQwa ( 1974-1994 ),Phuthaditjhaba,"342,886"
Transkei ( 1976-1994 ) †,Umtata,"2,323,650"
Venda ( 1979-1994 ) †,Thohoyandou,"558,797"
Mandates,Capital,Peak population
South-West Africa,Windhoek,"1,415,000"
