District,Vacator,Reason for change,Successor,Date of successor 's formal installation
Illinois 8th,Vacant,Rep-elect Lyman Trumbull resigned in previous congress after being elected to the US Senate,James L. D. Morrison ( D ),"Seated November 4 , 1856"
Missouri 5th,John G. Miller ( O ),"Died May 11 , 1856",Thomas P. Akers ( A ),"Seated August 18 , 1856"
Virginia 1st,Thomas H. Bayly ( D ),"Died June 23 , 1856",Muscoe R. H. Garnett ( D ),"Seated December 1 , 1856"
South Carolina 3rd,Laurence M. Keitt ( D ),"Resigned July 15 , 1856 , after being censured in his role in the assault on US Senator Charles Sumner . He was subsequently re-elected to fill the vacancy",Laurence M. Keitt ( D ),"Seated August 6 , 1856"
South Carolina 4th,Preston Brooks ( D ),"Resigned July 15 , 1856 , after assaulting US Senator Charles Sumner . He was subsequently re-elected to fill the vacancy",Preston Brooks ( D ),"Seated August 1 , 1856"
Illinois 7th,James C. Allen ( D ),"House declared on July 18 , 1856 , he was not entitled to seat . He was subsequently re-elected to fill the vacancy",James C. Allen ( D ),"Seated November 4 , 1856"
New Mexico Territory At-large,José M. Gallegos ( D ),"Contested election July 23 , 1856",Miguel A. Otero ( D ),"Seated July 23 , 1856"
Kansas Territory At-large,John W. Whitfield ( D ),"House declared August 1 , 1856 , the seat vacant . He was subsequently re-elected to fill the vacancy",John W. Whitfield ( D ),"Seated December 9 , 1856"
Vermont 1st,James Meacham ( O ),"Died August 23 , 1856",George T. Hodges ( R ),"Seated December 1 , 1856"
Illinois 5th,William A. Richardson ( D ),"Resigned August 25 , 1856",Jacob C. Davis ( D ),"Seated November 4 , 1856"
South Carolina 4th,Preston Brooks ( D ),"Died January 27 , 1857",Vacant,Not filled this term
New York 20th,Orsamus B. Matteson ( O ),"Resigned February 27 , 1857",Vacant,Not filled this term
New York 23rd,William A. Gilbert ( O ),"Resigned February 27 , 1857",Vacant,Not filled this term
New York 33rd,Francis S. Edwards ( A ),"Resigned February 28 , 1857",Vacant,Not filled this term
