Plant,City,Country,Employees,Current/Last Products,Opened
Aachen Research Center,Aachen,Germany,,,
Bordeaux Transmission Plant,Blanquefort,France,,"IB5 Transmissions : Fiesta , Fusion , B-MAX , Focus , C-MAX , Mondeo",
Bridgend Engine,Bridgend,United Kingdom,"2,137","The 1,6 I4 EcoBoost and the SI6 ( for Volvo , Land Rover ) petrol engine",1980
Cologne Body & Assembly,Cologne,Germany,"4,375","Fiesta , the 1.0 L I3 EcoBoost",1931
Merkenich Technical/Design Centre,"Merkenich , Cologne",Germany,,,1968
Craiova Assembly,Craiova,Romania,"3,600","B-Max , the 1.0 L I3 EcoBoost",2008
Dagenham Engine,Dagenham,United Kingdom,"1,835",All Ford Europe diesel engines,1931
Dunton Technical Centre,Dunton Wayletts,United Kingdom,"3,000",,1967
Halewood Transmission,"Halewood , Merseyside",United Kingdom,715,Transmissions,1963
Otosan Assembly,Kocaeli,Turkey,"7,534","Transit , Transit Custom , Transit Connect",2001
Lommel Proving Grounds,Lommel,Belgium,,Proving grounds,1964
Saarlouis Body & Assembly,Saarlouis,Germany,"6,199","Focus , C-Max",1970
Valencia Body & Assembly,Almussafes,Spain,"3,485","Kuga , Galaxy , Mondeo , S-Max , Transit",1976
Vsevolozhsk Assembly,Vsevolozhsk,Russia,"2,961","Focus , Mondeo",2002
