Name,Age,Location
Aguja Formation,Campanian,Mexico USA
Allen Formation,,Argentina
Barun Goyot Formation,Middle Campanian ( ? ),Mongolia
Bayan Mandahu Formation,,China
Bayan Shireh Formation,Cenomanian to Santonian,Mongolia
Bissekty Formation,Late Turonian to Coniacian,Uzbekistan
Cedar Mountain Formation,Barremian to basal Cenomanian,USA
Dinosaur Park Formation,Late Campanian,Canada
Djadochta Formation,Middle Campanian,China Mongolia
Elliot Formation,Norian to Sinemurian,Lesotho South Africa
Ferris Formation,Late Maastrichtian,USA
Frenchman Formation,Late Maastrichtian,Canada
Hastings Beds,Late Berriasian to Valanginian,UK
Hell Creek Formation,Late Maastrichtian,USA
Horseshoe Canyon Formation,Early Maastrichtian,Canada
Huincul Formation,,Argentina
Iren Dabasu Formation,? Campanian,China
Jiufotang Formation,Aptian,China
Judith River Formation,Late Campanian,USA
Kaiparowits Formation,,USA
