Name,University,Established,Comments
"Barts and The London , School of Medicine and Dentistry",Queen Mary University of London,1995,Formed by the merger of the London Hospital Medical College and St Bartholomews Hospital Medical College
School of Dentistry,Birmingham,1828,Merged with Mason Science College in 1900
Bristol Dental School,Bristol,1833,
"School of Dentistry , University of Central Lancashire",University of Central Lancashire,1842,"Teaching of dentistry began in 2007 . Curriculum as University of Liverpool leading to a University of Lancashire Degree . Also teaches Postgraduate Dentistry courses leading to diplomas , Masters and PhD in Dentistry"
"Guy 's , King 's & St Thomas 's Dental Institute",King 's College London,1799,Earliest dental education at Guy 's Hospital predates foundation of King 's College London . The United Medical and Dental Schools of Guy 's and St Thomas ' Hospitals merged eventually with King 's in 1998 . Known as GKT School of Medicine & Dental Institute until 2005 . Dental Institute became a separate faculty at King 's in 2014
Leeds Dental Institute,Leeds,1904,"All undergraduate students qualify with an MChd/BChd Dental Surgery , Bsc Oral Science at the end of the five-year programme . It is the only UK dental school to offer this integrated undergraduate master 's degree . The school is also unique in beginning clinical experience with patients in the first year of the dental course"
Liverpool Dental School,Liverpool,1834,
Manchester Dental School,Manchester,1874,"Formed from the School of Anatomy at Manchester Royal Infirmary , which opened in 1814"
Newcastle University Dental School,Newcastle,1834,
Peninsula College of Medicine and Dentistry,Exeter Plymouth,2000,Run jointly by the University of Exeter and Plymouth University
Sheffield School of Clinical Dentistry,Sheffield,1828,Affiliated with the Royal Hallamshire Hospital
UCL Eastman Dental Institute,University College London,1948,Merged with University College London in 1999 . Shares site and facilities with Eastman Dental Hospital
Forward Academic Team,NEBDN London,2013,Established to provide quality dental nursing qualification approved by NEBDN and GDC . College centres in eight other locations
