Date,Sport,Venue/Event,Status,Winner/s
2,Formula One,2014 United States Grand Prix,International,Lewis Hamilton ( Mercedes )
2,Marathon,2014 New York City Marathon ( WMM ),International,Men : Wilson Kipsang Women : Mary Keitany
8-11,Ice hockey,2015 IIHF Women 's World Championship Qualification Series,International,Japan qualified to participate in the 2015 IIHF Women 's World Championship
8-16,Weightlifting,2014 World Weightlifting Championships,International,China
9,Formula One,2014 Brazilian Grand Prix,International,Nico Rosberg ( Mercedes )
9,Motorcycle racing,2014 Valencian Community motorcycle Grand Prix,International,MotoGP : Marc Márquez ( Honda ) Moto2 : Thomas Lüthi ( Interwetten Racing ) Moto3 : Jack Miller ( Red Bull KTM Ajo )
9-16,Tennis,2014 ATP World Tour Finals,International,Singles : Novak Djokovic Doubles : Bob Bryan / Mike Bryan
13-24,Amateur boxing,2014 AIBA Women 's World Boxing Championships,International,Russia
14-21,Squash,2014 PSA World Championship,International,Ramy Ashour
14-23,Multi-sport,2014 Asian Beach Games,Continental,Thailand
14-30,Multi-sport,2014 Central American and Caribbean Games,Regional,Cuba
16,WTCC,2014 Guia Race of Macau,International,Race 1 : José María López ( Citroën Total WTCC ) Race 2 : Robert Huff ( Lada Sport )
22,Formula E,2014 Putrajaya ePrix,International,Sam Bird ( Virgin Racing )
22-20 December,Association football,/ 2014 AFF Suzuki Cup,Regional,Thailand
23,Formula One,2014 Abu Dhabi Grand Prix,International,Lewis Hamilton ( Mercedes )
25-7 December,Snooker,2014 UK Championship,International,Ronnie O'Sullivan
28-13 December,Tennis,/ / / 2014 International Premier Tennis League season,Continental,Indian Aces
29-7 December,Field hockey,2014 Women 's Hockey Champions Trophy,International,Argentina
30,Canadian football,2014 Grey Cup,Domestic,Calgary Stampeders Grey Cup Most Valuable Player : Bo Levi Mitchell ( Calgary Stampeders )
30-6 December,Association football,2014 International Women 's Club Championship,International,São José
