Name,Country of birth,Rank,Branch,Place of action,Date of action
Albert Beyer,Germany,Coxswain,Navy,"Cienfuegos , Cuba","May 11 , 1898"
George F. Brady,Ireland,Chief Gunner 's Mate,Navy,"Cardenas , Cuba","May 11 , 1898"
Daniel J. Campbell,Canada,Private,Marine Corps,"Cienfuegos , Cuba","May 11 , 1898"
Joseph E. Carter,"England , United Kingdom",Blacksmith,Navy,"Cienfuegos , Cuba","May 11 , 1898"
Thomas Cavanaugh,Ireland,Fireman First Class,Navy,Bahamas,"November 14 , 1898"
Claus K. R. Clausen,Denmark,Coxswain,Navy,Santiago de Cuba,"June 2 , 1898"
Thomas C. Cooney,Ireland,Chief Machinist,Navy,"Cardenas , Cuba","May 11 , 1898"
John Davis,Germany,Gunner 's Mate Third Class,Navy,"Cienfuegos , Cuba","May 11 , 1898"
Thomas M. Doherty,Ireland,Corporal,Army,Santiago de Cuba,"July 1 , 1898"
John Eglit,Finland,Seaman,Navy,"Cienfuegos , Cuba","May 11 , 1898"
Nick Erickson,Finland,Coxswain,Navy,"Cienfuegos , Cuba","May 11 , 1898"
John Fitzgerald,Ireland,Private,Marine Corps,"Cuzco , Cuba","June 14 , 1898"
Philip Gaughan,Ireland,Sergeant,Marine Corps,"Cienfuegos , Cuba","May 11 , 1898"
Michael Gibbons,Ireland,Oiler,Navy,"Cienfuegos , Cuba","May 11 , 1898"
Henry Hendrickson,Germany,Seaman,Navy,"Cienfuegos , Cuba","May 11 , 1898"
Franz A. Itrich,Germany,Chief Carpenter 's Mate,Navy,"Luzon , Philippines","May 1 , 1898"
Alexander Jardine,"Scotland , United Kingdom",Fireman First Class,Navy,Bahamas,"November 14 , 1898"
John P. Johanson,Sweden,Seaman,Navy,"Cienfuegos , Cuba","May 11 , 1898"
Johan J. Johansson,Sweden,Ordinary Seaman,Navy,"Cienfuegos , Cuba","May 11 , 1898"
Hans Johnsen,Norway,Chief Machinist,Navy,"Cardenas , Cuba","May 11 , 1898"
