Year,Girls Basketball,Girls Hockey,Girls Netball,Girls Soccer
2005,Geraldton Senior College,Bunbury Cathedral Grammar School,Narrogin Senior High School,No Competition
2006,Geraldton Senior College,Collie Senior High School,Narrogin Senior High School,No Competition
2007,Geraldton Senior College,Newton Moore Senior High School,Australind Senior High School,Newton Moore Senior High School
2008,Eastern Goldfields College,Great Southern Grammar,Esperance Senior High School,Great Southern Grammar
2009,Bunbury Senior High School,Bunbury Cathedral Grammar School,Busselton Senior High School,Newton Moore Senior High School
2010,Bunbury Senior High School,Narrogin Senior High School,Great Southern Grammar,Albany Senior High School
2011,Denmark High School,Albany Senior High School,Albany Senior High School,Albany Senior High School
2012,Bunbury Senior High School,Albany Senior High School,Margaret River Senior High School,Albany Senior High School
2013,Bunbury Senior High School,Great Southern Grammar,Newton Moore Senior High School,Albany Senior High School
2014,Bunbury Senior High School,Great Southern Grammar,Bunbury Cathedral Grammar School,Australind Senior High School
2015,Denmark High School,Bunbury Senior High School,Bunbury Cathedral Grammar School,Bunbury Senior High School
2016,Newton Moore Senior High School,Great Southern Grammar,Bunbury Cathedral Grammar School,Australind Senior High School
