Year,Mark,Athlete,Location
1971,76.40 m ( 250 ft 7 ⁄ 4 in ),Walter Schmidt ( FRG ),Lahr
1972,75.88 m ( 248 ft 11 ⁄ 4 in ),Anatoliy Bondarchuk ( URS ),Kiev
1973,75.20 m ( 246 ft 8 ⁄ 2 in ),Anatoliy Bondarchuk ( URS ),Moscow
1974,76.66 m ( 251 ft 6 in ),Aleksey Spiridonov ( URS ),Munich
1975,79.30 m ( 260 ft 2 in ),Walter Schmidt ( FRG ),Frankfurt
1976,78.86 m ( 258 ft 8 ⁄ 2 in ),Yuriy Sedykh ( URS ),Sochi
1977,77.60 m ( 254 ft 7 in ),Karl-Hans Riehm ( FRG ),Gelsenkirchen
1978,80.32 m ( 263 ft 6 in ),Karl-Hans Riehm ( FRG ),Heidenheim
1979,79.82 m ( 261 ft 10 ⁄ 2 in ),Sergey Litvinov ( URS ),Leipzig
1980,81.80 m ( 268 ft 4 ⁄ 4 in ),Yuriy Sedykh ( URS ),Moscow
1981,80.56 m ( 264 ft 3 ⁄ 2 in ),Klaus Ploghaus ( FRG ),Obersühl
1982,83.98 m ( 275 ft 6 ⁄ 4 in ),Sergey Litvinov ( URS ),Moscow
1983,84.14 m ( 276 ft ⁄ 2 in ),Sergey Litvinov ( URS ),Moscow
1984,86.34 m ( 283 ft 3 in ),Yuriy Sedykh ( URS ),Cork
1985,84.08 m ( 275 ft 10 in ),Jüri Tamm ( URS ),Budapest
1986,86.74 m ( 284 ft 6 ⁄ 4 in ),Yuriy Sedykh ( URS ),Stuttgart
1987,83.48 m ( 273 ft 10 ⁄ 2 in ),Sergey Litvinov ( URS ),Karl-Marx-Stadt
1988,85.14 m ( 279 ft 3 ⁄ 4 in ),Yuriy Sedykh ( URS ),Moscow
1989,82.84 m ( 271 ft 9 ⁄ 4 in ),Heinz Weis ( FRG ),Berlin
1990,84.48 m ( 277 ft 1 ⁄ 4 in ),Igor Nikulin ( URS ),Lausanne
