Rank,City,State,Chinese-Americans,Percentage
1,San Francisco,California,"172,181",21.4
2,Honolulu,Hawaii,"38,330",10.2
3,Oakland,California,"34,083",8.7
4,San Jose,California,"63,434",6.7
5,New York City,New York,"486,463",6.0
6,Plano,Texas,"13,592",5.2
7,Sacramento,California,"20,307",4.4
8,Seattle,Washington,"27,216",4.1
9,Boston,Massachusetts,"24,910",4.0
10,San Diego,California,"35,661",2.7
11,Philadelphia,Pennsylvania,"30,069",2.0
12,Stockton,California,"5,188",1.8
13,Los Angeles,California,"66,782",1.8
14,Portland,Oregon,"9,113",1.7
15,Chicago,Illinois,"43,228",1.6
16,Anaheim,California,"4,738",1.4
17,Houston,Texas,"29,429",1.3
18,Austin,Texas,"8,886",1.2
19,Pittsburgh,Pennsylvania,"3,402",1.1
20,Riverside,California,"2,985",1.0
