Year,Title,Role,Director
1991,Stone Cold,Joe Huff / John Stone,Craig R. Baxley
1995,One Man 's Justice,John North,Kurt Wimmer
1996,Virus,Ken Fairchild,Allan A. Goldstein ( also released under the title 'Spill ' )
1997,Midnight Heat,John Gray / Wayne Garret,Allan A. Goldstein
1998,Back in Business,Joe Elkhart,Philippe Mora
1999,Three Kings,Action Star,David O. Russell
2000,The Operative,Alec/Grady,Robert Lee
2001,Phase IV,Detective Steven Birnam,Bryan Goeres
2001,Mach 2,Captain Jack Tyree,Fred Olen Ray
2005,The Longest Yard,Guard Garner,Peter Segal
2005,CSI : Miami - Episode - Shattered,Duane Bull Merrick,Scott Lautanen
2009,Rock Slyde,The Friendly Pirate,Chris Dowling
2010,Blue Mountain State ( Season 2 Ep . 3 ),Himself,"Eric Falconer , Chris Romano"
2010,Down and Distance,John Vonarb,Brian J . De Palma
2013,Revelation Road : The Beginning of the End,Hawg,Gabriel Sabloff
2013,Revelation Road 2 : The Sea of Glass and Fire,Hawg,Gabriel Sabloff
2014,The Black Rider : Revelation Road,Hawg,Gabriel Sabloff
2015,Do You Believe ?,Joe,Jonatham M. Gunn
2019,What Men Want,Nick,Adam Shankman
2019,Ambitions,Hunter Purifoy,
