Rank,Country,Team,Time
1,Kenya,Patrick Makau Musyoki Evans Kiprop Cheruiyot Robert Kipchumba,2:58:54
2,Eritrea,Zersenay Tadesse Yonas Kifle Michael Tesfay,2:59:08
3,Ethiopia,Deriba Merga Raji Assefa Tariku Jufar,3:01:15
4,Tanzania,Dickson Marwa Fabiano Joseph Ezekiel Ngimba,3:02:19
5,Qatar,Ali Dawoud Sedam Mohammed Abduh Bakhet Ahmed Hassan Abdullah,3:04:03
6,Rwanda,Dieudonné Disi Sylvain Rukundo Gervais Hakizimana,3:04:14
7,Japan,Atsushi Sato Kazuhiro Maeda Kenji Noguchi,3:04:53
8,Uganda,Nicolas Kiprono Wilson Busienei James Kibet,3:05:09
9,Brazil,Marilson dos Santos Clodoaldo da Silva João de Lima,3:05:14
10,South Africa,Lusapho April Nkosinoxolo Sonqibido Olebogeng Masire,3:08:32
11,Italy,Ruggero Pertile Daniele Caimmi Giovanni Ruggiero,3:08:39
12,Austria,Günther Weidlinger Martin Pröll Markus Hohenwarter,3:10:59
13,Spain,Ricardo Serrano Fernando Rey Julio Rey,3:11:04
14,Russia,Yevgeniy Rybakov Anatoliy Rybakov Sergey Yemelyanov,3:11:15
15,Colombia,Diego Colorado Giovanny Amador Edwin Romero,3:18:25
16,Botswana,Keenetse Moswasi Kaelo Mosalagae Kabo Gabaseme,3:18:40
17,Trinidad and Tobago,Richard Jones Curtis Cox Jules La Rode,3:40:00
