Year,Title,Role
1994,It 's a Digital World,Regrettal
1997,Ulee 's Gold,Casey Jackson
1998,I 'll Be Home for Christmas,Allie Henderson
2001,Summer Catch,Tenley Parrish
2002,The Rules of Attraction,Lara Holleran
2003,The Texas Chainsaw Massacre,Erin Hardesty
2004,Cellular,Chloe
2004,Blade : Trinity,Abigail Whistler
2005,Stealth,Lt. Kara Wade
2005,London,London
2005,Elizabethtown,Ellen Kishmore
2006,The Illusionist,Duchess Sophie von Teschen
2006,Home of the Brave,Vanessa Price
2007,Next,Liz Cooper
2007,I Now Pronounce You Chuck & Larry,Alex McDonough
2008,Hole in the Paper Sky,Karen Watkins
2008,Easy Virtue,Larita Whittaker
2009,Powder Blue,Rose-Johnny
2009,Planet 51,Neera
2010,Valentine 's Day,Kara Monahan
