Dates,Tournament,Location,Winner
"Nov 12-13 , 2015",Anita Boon Pro Am,"North Shore Golf Club , Auckland , New Zealand",Stacey Keating ( 5 )
"Dec 4-6 , 2015",The Queens,Miyoshi Country Club ( West Course ),JLPGA
Jan 7-8,Moss Vale Ladies Classic,Moss Vale Golf Club,Miriam Nagl ( 1 )
Jan 9-10,Mt Broughton Ladies Classic,Mount Broughton Golf and Country Club,Felicity Johnson ( n/a )
Jan 14-15,Bing Lee Fujitsu General Pro Am,Oatlands Golf Club,Stacey Keating ( 6 )
Jan 19-19,Mulpha Norwest Ladies Pro Am,Castle Hill Golf and Country Club,Cathryn Bristow ( 2 )
Jan 21-22,Gold Key Financial Ladies Pro Am,Pennant Hills Golf Club,Laura Jansone ( 1 )
Jan 25,North Shore Ladies Pro Am,Long Reef Golf Club,Cathryn Bristow ( 3 )
Feb 4-7,Oates Victorian Open,13th Beach Golf Links,Georgia Hall ( n/a )
Feb 11-14,ISPS Handa New Zealand Women 's Open,"Clearwater Golf Club , Christchurch",Lydia Ko ( 5 )
Feb 18-21,ISPS Handa Women 's Australian Open,The Grange Golf Course ( West Course ),Haru Nomura ( n/a )
Feb 25-28,RACV Ladies Masters,Royal Pines Resort,Jiyai Shin ( n/a )
Mar 1-2,Brisbane Invitational,McLeod Country Golf Club,Stacey Keating ( 7 )
Mar 4,BWAC Regional Services ALPG Pro Am,Yamba Golf Club,Katelyn Must ( 1 )
