Round,Player,Club
1,Ollie Wines,Port Adelaide
2,Aaron Mullett,North Melbourne
3,Jed Anderson,Hawthorn
4,George Horlin-Smith,Geelong
5,Jaeger O'Meara,Gold Coast
6,Bradley Hill,Hawthorn
7,Nick Vlastuin,Richmond
8,Jackson Macrae,Western Bulldogs
9,Sam Kerridge,Adelaide
10,Lachie Whitfield,Greater Western Sydney
11,Tom Mitchell,Sydney
12,Sam Mayes,Brisbane Lions
13,Jake Neade,Port Adelaide
14,Brad Crouch,Adelaide
15,Michael Talia,Western Bulldogs
16,Tom Nicholls,Gold Coast
17,Adam Tomlinson,Greater Western Sydney
18,Marley Williams,Collingwood
19,Zac Williams,Greater Western Sydney
20,Rory Laird,Adelaide
