Artist,Single,Released,Sales ( in millions )
Maroon 5,One More Night,2012,6.9
Usher featuring will.i.am,OMG,2010,6.9
Katy Perry,California Gurls,2010,6.7
Flo Rida,Whistle,2012,6.6
Train,"Hey , Soul Sister",2009,6.6
Rihanna featuring Jay Z,Umbrella,2007,6.6
Taylor Swift,Love Story,2009,6.5
Flo Rida featuring Sia,Wild Ones,2012,6.5
Bruno Mars,The Lazy Song,2011,6.5
Shōnan no Kaze,Junrenka,2006,6.5
Justin Bieber featuring Ludacris,Baby,2010,6.4
Timbaland featuring OneRepublic,Apologize,2008,6.2
Paramore,crushcrushcrush,2007,6.1
Beyoncé,Single Ladies ( Put a Ring on It ),2008,6.1
The Black Eyed Peas,I Got ta Feeling,2009,6.1
A Great Big World and Christina Aguilera,Say Something,2013,6
Clean Bandit featuring Jess Glynne,Rather Be,2014,6
Kimura Kaela,Butterfly,2009,6
The Pussycat Dolls featuring Busta Rhymes,Do n't Cha,2005,6
