Season,Champions,Runners up,Third place,Top scorer ( s ),Goals
1945,SR Serbia,JNA,SR Croatia,Stjepan Bobek ( JNA ),8
1946-47,Partizan,Dinamo Zagreb,Crvena Zvezda,Franjo Wölfl ( Dinamo Zagreb ),28
1947-48,Dinamo Zagreb,Hajduk Split,Partizan,Franjo Wölfl ( Dinamo Zagreb ),22
1948-49,Partizan,Crvena Zvezda,Hajduk Split,Frane Matošić ( Hajduk Split ),17
1950,Hajduk Split,Crvena Zvezda,Partizan,Marko Valok ( Partizan ),17
1951,Crvena Zvezda,Dinamo Zagreb,Hajduk Split,Kosta Tomašević ( Crvena Zvezda ),16
1952,Hajduk Split,Crvena Zvezda,Lokomotiva Zagreb,Stanoje Jocić ( BSK Belgrade ),13
1952-53,Crvena Zvezda,Hajduk Split,Partizan,Todor Živanović ( Crvena Zvezda ),17
1953-54,Dinamo Zagreb,Partizan,Crvena Zvezda,Stjepan Bobek ( Partizan ),21
1954-55,Hajduk Split,BSK Belgrade,Dinamo Zagreb,Predrag Marković ( BSK Belgrade ) Kosta Tomašević ( Spartak ) Bernard Vukas ( Hajduk Split ),20
1955-56,Crvena Zvezda,Partizan,Radnički Belgrade,Muhamed Mujić ( Velež Mostar ) Tihomir Ognjanov ( Spartak ) Todor Veselinović ( Vojvodina ),21
1956-57,Crvena Zvezda,Vojvodina,Hajduk Split,Todor Veselinović ( Vojvodina ),28
1957-58,Dinamo Zagreb,Partizan,Radnički Belgrade,Todor Veselinović ( Vojvodina ),19
1958-59,Crvena Zvezda,Partizan,Vojvodina,Bora Kostić ( Crvena Zvezda ),25
1959-60,Crvena Zvezda,Dinamo Zagreb,Partizan,Bora Kostić ( Crvena Zvezda ),19
1960-61,Partizan,Crvena Zvezda,Hajduk Split,Zoran Prljinčević ( Radnički Belgrade ) Todor Veselinović ( Vojvodina ),16
1961-62,Partizan,Vojvodina,Dinamo Zagreb,Dražan Jerković ( Dinamo Zagreb ),16
1962-63,Partizan,Dinamo Zagreb,Željezničar,Mišo Smajlović ( Željezničar ),18
1963-64,Crvena Zvezda,OFK Belgrade,Dinamo Zagreb,Asim Ferhatović ( FK Sarajevo ),19
1964-65,Partizan,FK Sarajevo,Crvena Zvezda,Zlatko Dračić ( NK Zagreb ),23
