Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,David Akers,K,Louisville,C-USA
Baltimore Ravens,Priest Holmes,RB,Texas,Big 12
Baltimore Ravens,Mike Flynn,C,Maine,Yankee
Buffalo Bills,Pat Williams,DT,Texas A & M,Big 12
Chicago Bears,Obafemi Ayanbadejo,FB,San Diego State,WAC
Chicago Bears,Kevin Swayne,WR,Wayne State,Ind . ( Div . II )
Chicago Bears,Terry Cousin,CB,South Carolina,SEC
Dallas Cowboys,Toby Gowin,P,North Texas,Big West
Dallas Cowboys,Kevin Mathis,CB,Texas A & M-Commerce,Lone Star
Detroit Lions,Travis Kirschke,DE,UCLA,Pac-10
Denver Broncos,Matt Lepsis,OT,Colorado,Big 12
Green Bay Packers,Joe Andruzzi,OT,Southern Connecticut State,ECAC
Green Bay Packers,Ryan Longwell,K,California,Pac-10
Kansas City Chiefs,Billy Lyon,DT,Marshall,SoCon
Minnesota Vikings,Todd Bouman,QB,St . Cloud State,NCC
New Orleans Saints,Jake Delhomme,QB,Louisiana-Lafayette,Ind . ( I-A )
New Orleans Saints,Sammy Knight,S,USC,Pac-10
New Orleans Saints,Keith Mitchell,LB,Texas A & M,Big 12
New York Giants,David Patten,WR,Western Carolina,SoCon
Philadelphia Eagles,Chad Lewis,TE,BYU,WAC
