Season,Player,NBA team,Date assigned,Date recalled
2007-08,JamesOn Curry,Chicago Bulls,"November 15 , 2007","December 17 , 2007"
2007-08,Demetris Nichols,Chicago Bulls,"December 18 , 2007","January 7 , 2008"
2007-08,JamesOn Curry ( 2 ),Chicago Bulls,"January 7 , 2008","January 24 , 2008"
2007-08,Joel Anthony,Miami Heat,"February 27 , 2008","March 8 , 2008"
2007-08,Daequan Cook,Miami Heat,"February 27 , 2008","March 8 , 2008"
2007-08,Demetris Nichols ( 2 ),Chicago Bulls,"February 29 , 2008","March 15 , 2008"
2007-08,Shannon Brown,Chicago Bulls,"March 15 , 2008","April 2 , 2008"
2007-08,Cedric Simmons,Chicago Bulls,"March 15 , 2008","April 2 , 2008"
2008-09,Alando Tucker,Phoenix Suns,"December 26 , 2008","January 2 , 2009"
2008-09,Courtney Sims,Phoenix Suns,"February 14 , 2009","February 17 , 2009"
2009-10,Taylor Griffin,Phoenix Suns,"December 7 , 2009","December 14 , 2009"
2009-10,Taylor Griffin ( 2 ),Phoenix Suns,"December 29 , 2009","January 20 , 2010"
2009-10,Earl Clark,Phoenix Suns,"March 15 , 2010","March 22 , 2010"
2009-10,Taylor Griffin ( 3 ),Phoenix Suns,"April 7 , 2010","April 12 , 2010"
2010-11,Gani Lawal,Phoenix Suns,"November 16 , 2010","December 19 , 2010"
2010-11,Garret Siler,Phoenix Suns,"January 2 , 2011","January 9 , 2011"
2010-11,James Johnson,Chicago Bulls,"January 27 , 2011","February 14 , 2011"
2011-12,Hamady N'Diaye,Washington Wizards,"January 1 , 2012","January 30 , 2012"
2011-12,Xavier Henry,New Orleans Hornets,"March 18 , 2012","March 19 , 2012"
