Name,Swedish name,Location,Date,Condition
Ismantorp Fortress,Ismantorps fornborg,Öland,2nd century,Ruin
Johannisborg,Johannisborg,Östergötland,1614,Ruin
Johannishus Castle,Johannishus slott,Blekinge,1670,Private residence
Jordberga Castle,Jordberga slott,Scania,1908,Private residence
Kalmar Castle,Kalmar slott,Småland,12th century,Museum
Karlberg Palace,Karlbergs slott,Stockholm,1634,School
Karlsborg Fortress,Karlsborgs fästning,Västergötland,1819,Museum
Kärnan,Kärnan,Scania,11th century,Museum
Karsholm Castle,Karsholms slott,Scania,1862,Private residence
Katthamra Mansion,Katthamra gård,Gotland,1805,Private residence
Kavlås Castle,Kavlås slott,Västergötland,1775,Private residence
Knutstorp Castle,Knutstorps borg,Scania,14th century,Private residence
Koberg Castle,Koberg slott,Västergötland,1632,Private residence
Krageholm Castle,Krageholms slott,Scania,1720s,Private residence
Krapperup Castle,Krapperups slott,Scania,14th century,Private residence
Kristineberg Palace,Kristinebergs slott,Stockholm,1750,Private residence
Kronoberg Castle,Kronobergs slott,Småland,1444,Ruin
Kronovall Castle,Kronovalls slott,Scania,1760,Private residence
Kulla Gunnarstorp Castle,Kulla Gunnarstorps slott,Scania,1854,Private residence
Läckö Castle,Läckö slott,Västergötland,1298,Museum
